"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","TIPO DELITO","CANTIDAD"
"25/05/2026","81","ARAUCA","81794","TAME","ARTICULO 168. SECUESTRO SIMPLE","1"
"16/05/2026","76","VALLE DEL CAUCA","76520","PALMIRA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"14/05/2026","50","META","50001","VILLAVICENCIO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"10/05/2026","20","CESAR","20517","PAILITAS","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"08/05/2026","81","ARAUCA","81300","FORTUL","ARTICULO 168. SECUESTRO SIMPLE","1"
"06/05/2026","05","ANTIOQUIA","05001","MEDELLIN","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"06/05/2026","05","ANTIOQUIA","05001","MEDELLIN","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"02/05/2026","81","ARAUCA","81065","ARAUQUITA","ARTICULO 168. SECUESTRO SIMPLE","1"
"29/04/2026","54","NORTE DE SANTANDER","54874","VILLA DEL ROSARIO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"28/04/2026","20","CESAR","20614","RIO DE ORO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"25/04/2026","25","CUNDINAMARCA","25785","TABIO","ARTICULO 169. SECUESTRO EXTORSIVO","2"
"24/04/2026","52","NARIÑO","52110","BUESACO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"23/04/2026","54","NORTE DE SANTANDER","54810","TIBU","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"22/04/2026","54","NORTE DE SANTANDER","54498","OCAÑA","ARTICULO 168. SECUESTRO SIMPLE","2"
"21/04/2026","85","CASANARE","85430","TRINIDAD","ARTICULO 168. SECUESTRO SIMPLE","1"
"21/04/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"19/04/2026","52","NARIÑO","52356","IPIALES","ARTICULO 168. SECUESTRO SIMPLE","1"
"19/04/2026","76","VALLE DEL CAUCA","76001","CALI","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"16/04/2026","52","NARIÑO","52001","PASTO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"15/04/2026","54","NORTE DE SANTANDER","54810","TIBU","ARTICULO 168. SECUESTRO SIMPLE","1"
"14/04/2026","52","NARIÑO","52399","LA UNION","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"12/04/2026","76","VALLE DEL CAUCA","76109","BUENAVENTURA","ARTICULO 168. SECUESTRO SIMPLE","1"
"12/04/2026","76","VALLE DEL CAUCA","76001","CALI","ARTICULO 168. SECUESTRO SIMPLE","1"
"08/04/2026","19","CAUCA","19622","ROSAS","ARTICULO 168. SECUESTRO SIMPLE","1"
"08/04/2026","73","TOLIMA","73555","PLANADAS","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"08/04/2026","19","CAUCA","19001","POPAYAN","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"08/04/2026","44","LA GUAJIRA","44847","URIBIA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"06/04/2026","52","NARIÑO","52227","CUMBAL","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"06/04/2026","05","ANTIOQUIA","05660","SAN LUIS","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"06/04/2026","05","ANTIOQUIA","05660","SAN LUIS","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"04/04/2026","76","VALLE DEL CAUCA","76001","CALI","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"04/04/2026","20","CESAR","20614","RIO DE ORO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"02/04/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"30/03/2026","05","ANTIOQUIA","05088","BELLO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"30/03/2026","05","ANTIOQUIA","05088","BELLO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"30/03/2026","05","ANTIOQUIA","05088","BELLO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"26/03/2026","76","VALLE DEL CAUCA","76318","GUACARI","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"25/03/2026","19","CAUCA","19548","PIENDAMO - TUNIA","ARTICULO 168. SECUESTRO SIMPLE","1"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","4"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","3"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","3"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","3"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","2"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","2"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","2"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"22/03/2026","47","MAGDALENA","47001","SANTA MARTA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"21/03/2026","05","ANTIOQUIA","05001","MEDELLIN","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"20/03/2026","19","CAUCA","19807","TIMBIO","ARTICULO 168. SECUESTRO SIMPLE","1"
"20/03/2026","19","CAUCA","19807","TIMBIO","ARTICULO 168. SECUESTRO SIMPLE","1"
"13/03/2026","54","NORTE DE SANTANDER","54810","TIBU","ARTICULO 168. SECUESTRO SIMPLE","1"
"13/03/2026","54","NORTE DE SANTANDER","54810","TIBU","ARTICULO 168. SECUESTRO SIMPLE","1"
"11/03/2026","76","VALLE DEL CAUCA","76606","RESTREPO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"10/03/2026","19","CAUCA","19532","PATIA","ARTICULO 168. SECUESTRO SIMPLE","1"
"06/03/2026","76","VALLE DEL CAUCA","76109","BUENAVENTURA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"03/03/2026","81","ARAUCA","81794","TAME","ARTICULO 168. SECUESTRO SIMPLE","1"
"02/03/2026","05","ANTIOQUIA","05001","MEDELLIN","ARTICULO 168. SECUESTRO SIMPLE","1"
"27/02/2026","05","ANTIOQUIA","05001","MEDELLIN","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"24/02/2026","76","VALLE DEL CAUCA","76364","JAMUNDI","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"23/02/2026","19","CAUCA","19573","PUERTO TEJADA","ARTICULO 168. SECUESTRO SIMPLE","1"
"23/02/2026","19","CAUCA","19573","PUERTO TEJADA","ARTICULO 168. SECUESTRO SIMPLE","1"
"23/02/2026","19","CAUCA","19573","PUERTO TEJADA","ARTICULO 168. SECUESTRO SIMPLE","1"
"23/02/2026","19","CAUCA","19573","PUERTO TEJADA","ARTICULO 168. SECUESTRO SIMPLE","1"
"23/02/2026","19","CAUCA","19573","PUERTO TEJADA","ARTICULO 168. SECUESTRO SIMPLE","1"
"22/02/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"21/02/2026","05","ANTIOQUIA","05001","MEDELLIN","ARTICULO 168. SECUESTRO SIMPLE","1"
"19/02/2026","50","META","50568","PUERTO GAITAN","ARTICULO 168. SECUESTRO SIMPLE","1"
"19/02/2026","50","META","50568","PUERTO GAITAN","ARTICULO 168. SECUESTRO SIMPLE","1"
"19/02/2026","50","META","50568","PUERTO GAITAN","ARTICULO 168. SECUESTRO SIMPLE","1"
"19/02/2026","50","META","50568","PUERTO GAITAN","ARTICULO 168. SECUESTRO SIMPLE","1"
"19/02/2026","20","CESAR","20400","LA JAGUA DE IBIRICO","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"18/02/2026","19","CAUCA","19075","BALBOA","ARTICULO 168. SECUESTRO SIMPLE","1"
"18/02/2026","19","CAUCA","19075","BALBOA","ARTICULO 168. SECUESTRO SIMPLE","1"
"17/02/2026","52","NARIÑO","52435","MALLAMA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"15/02/2026","54","NORTE DE SANTANDER","54250","EL TARRA","ARTICULO 168. SECUESTRO SIMPLE","1"
"15/02/2026","11","BOGOTA D.C.","11001","BOGOTA D.C.","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"15/02/2026","54","NORTE DE SANTANDER","54498","OCAÑA","ARTICULO 169. SECUESTRO EXTORSIVO","1"
"14/02/2026","13","BOLIVAR","13001","CARTAGENA DE INDIAS","ARTICULO 168. SECUESTRO SIMPLE","1"
