"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"91","AMAZONAS","91263","EL ENCANTO (Cor. Departamental)","191.82","264","164","270","382","233","186","349","109","81","35","16","8","20","11.77","12.65","8.04","4.12","2.52",,,,,
"91","AMAZONAS","91405","LA CHORRERA (Cor. Departamental)","65","236","209","271","257","223","132","349","81","113","36","22","25","51","13.61","14.09","18.2","6.04","3.16",,,,,
"91","AMAZONAS","91407","LA PEDRERA (Cor. Departamental)",,,,,,,,,"7","12",,"1",,,,,,,,,,,,
"91","AMAZONAS","91430","LA VICTORIA (Pacoa) (Cor. Departamental)",,,,,,,,,"2","10",,,,,,,,,,,,,,
"91","AMAZONAS","91460","MIRITÍ-PARANÁ (Campoamor) (Cor. Departamental)","6","43","36.18","30","12","4","9","2","4","15",,"5",,,,,,,,,,,,
"91","AMAZONAS","91530","PUERTO ALEGRÍA (Cor. Departamental)","212.34","195","173","174","210","202","165","95","53","73","44","54","76","102","85.79","140.03","139.38","111.49","118.96","61.45","72.76","103.39","65.97","66.41"
"91","AMAZONAS","91536","PUERTO ARICA (Cor. Departamental)",,"1","6.36",,,,,,,,,,,,,,,,,,,,,
"91","AMAZONAS","91669","SANTANDER (Araracuara) (Cor. Departamental)","33","44","36.72","38","36","30","49","41","22","34","7",,"1",,,,,,,,,,,
"05","ANTIOQUIA","05031","AMALFI","36.61","110","74","173","210","342","246","151","108","103","29","170","48","40","28.36","130.81","197.94","205.61","191.08","209.8","475.39","404.95","382.59","388.08"
"05","ANTIOQUIA","05040","ANORÍ","201.25","369","613.71","753","759","836","533","787","239","526","208","361","107","199","256.05","661.7","1312.28","969.49","768.35","1,088.88","1737.4","1540.74","2089.32","1957.22"
"05","ANTIOQUIA","05045","APARTADÓ",,,,,,,,"10","21","70",,"19","5","6","8.9","9.48","7.93","1.51","7.26","5.69","1.86","3.35","3.23","2.6"
"05","ANTIOQUIA","05055","ARGELIA",,,"4","21","21","15","2","1","3","9","42","5","2",,,,,,,,,,,
"05","ANTIOQUIA","05107","BRICEÑO","24.17","17","20","54","115","44","329","85","50","94","38","53","5","27","91.45","736.94","414.9","289.04","90.71","88.59","363.09","417.62","534.5","336.19"
"05","ANTIOQUIA","05120","CÁCERES","229.11","116","537","539","650","579","552","524","382","1056","453","290","143","510","420.12","1131.27","1943.61","1826.23","1101.54","1,273.92","1869.62","1785.65","2116.19","1908.18"
"05","ANTIOQUIA","05134","CAMPAMENTO",,"8",,"62","28","9","38","6","25",,,"6","11","41","25.6","130.32","228.15","204.57","183.95","179.43","326.09","268.84","427.12","415.79"
"05","ANTIOQUIA","05142","CARACOLÍ",,,,,,"1",,"14",,"2","2",,,,,,,,,,,,,
"05","ANTIOQUIA","05147","CAREPA",,,,"2",,,,"4",,"4",,,,,,,,,,,,,,
"05","ANTIOQUIA","05148","CARMEN DE VIBORAL",,,,,,,,,"2",,,,,,,,,,,,,,,
"05","ANTIOQUIA","05154","CAUCASIA","95.11","26","27","21","2","12","7","2",,,,,,,,"5.89",,"2.25",,,"3.32","3.63","3.14","1.55"
"05","ANTIOQUIA","05172","CHIGORODÓ",,,,,,,,"2",,"7","1","7","4","1",,"10.43","6.94","5.31","6.37","4.1","12.18","15.6","35.41","29.33"
"05","ANTIOQUIA","05197","COCORNÁ",,,,,,,,"13","6",,"1","4",,,,,,,,,,,,
"05","ANTIOQUIA","05234","DABEIBA","40",,,,,,,,"40","4","2","4",,,,,,,,,,,"5.78","4.13"
"05","ANTIOQUIA","05250","EL BAGRE","452.25","327","524","546","721","463","1752","708","715","1110","317","339","96","21","85.34","446.31","595.17","811.02","648.31","1,265.7","1152.82","878.64","1040.74","689.95"
"05","ANTIOQUIA","05284","FRONTINO","1",,,,,,,,,,,,,,,,,,,,,,,
"05","ANTIOQUIA","05310","GÓMEZ PLATA","24.96","2",,,,,,,,,,,,,,,,,,,,,,
"05","ANTIOQUIA","05361","ITUANGO","134.67","130","200","135","161","76","45","228","250","16","82","138","27","108","41.37","305.23","865.56","882.69","724.51","967.34","1414.19","1213.2","1471.27","1509.73"
"05","ANTIOQUIA","05425","MACEO","7.95",,,,,,,,,,,,,,,,,,,,,,,
"05","ANTIOQUIA","05475","MURINDÓ",,,,,,,,,"6",,"3",,"1",,,,,,"1.52","8.12","46.05","69.23","176.31","200.41"
"05","ANTIOQUIA","05480","MUTATÁ","1",,,,,,,,,"7",,"10","4",,"1.18",,"6.65","3.49","1.21","1.1","5.99","10","31.03","27.85"
"05","ANTIOQUIA","05483","NARIÑO",,,"2","8","1","94","32","17","61","29","66","3",,"1",,,,,,,,,,
"05","ANTIOQUIA","05495","NECHÍ","15.67","57","125","195","365","335","1085","328","235","119","210","173","28","39","128.35","360.85","551.52","708.03","530.37","551.1","365.53","277.93","380.35","357.84"
"05","ANTIOQUIA","05490","NECOCLÍ",,,"78","1",,,,,,,,,"1",,,,,,,,,,,
"05","ANTIOQUIA","05579","PUERTO BERRÍO",,,,,,,,"2",,,"3","2","2",,,,,,,,,,,
"05","ANTIOQUIA","05585","PUERTO NARE",,,,"7","2","35","44","45","2","17","22","5",,,,,,,,,,,,
"05","ANTIOQUIA","05591","PUERTO TRIUNFO",,,,,,"1",,,,,,,,,,,,,,,,,,
