Fecha,Inflación
31/03/1983,23.53
30/04/1983,23.33
31/05/1983,22.7
30/06/1983,21.12
31/07/1983,20.64
31/08/1983,20.02
30/09/1983,19.96
31/10/1983,19.59
30/11/1983,18.98
31/12/1983,17.61
31/01/1984,17.89
29/02/1984,17.83
31/03/1984,16.79
30/04/1984,15.72
31/05/1984,15.36
30/06/1984,15.77
31/07/1984,16.19
31/08/1984,16.15
30/09/1984,16.33
31/10/1984,15.66
30/11/1984,16.31
31/12/1984,17.31
31/01/1985,16.98
28/02/1985,17.37
31/03/1985,18.42
30/04/1985,19.61
31/05/1985,20.99
30/06/1985,21.02
31/07/1985,20.69
31/08/1985,21.15
30/09/1985,21.83
31/10/1985,22.48
30/11/1985,21.67
31/12/1985,21.12
31/01/1986,22.12
28/02/1986,22
31/03/1986,21.1
30/04/1986,22.04
31/05/1986,18.98
30/06/1986,18.54
31/07/1986,18.49
31/08/1986,19.05
30/09/1986,18.72
31/10/1986,19.36
30/11/1986,20.04
31/12/1986,20.74
31/01/1987,21.94
28/02/1987,22.38
31/03/1987,22.91
30/04/1987,21.51
31/05/1987,24.5
30/06/1987,25.17
31/07/1987,25.89
31/08/1987,24.96
30/09/1987,24.84
31/10/1987,24.31
30/11/1987,24.08
31/12/1987,24.3
31/01/1988,22.96
29/02/1988,23.95
31/03/1988,23.86
30/04/1988,24.6
31/05/1988,23.61
30/06/1988,23.25
31/07/1988,23.03
31/08/1988,23.68
30/09/1988,24.38
31/10/1988,24.39
30/11/1988,24.15
31/12/1988,24.03
31/01/1989,24.71
28/02/1989,24.65
31/03/1989,25.54
30/04/1989,25.76
31/05/1989,26.09
30/06/1989,26.81
31/07/1989,27.16
31/08/1989,27.44
30/09/1989,27.2
31/10/1989,27.45
30/11/1989,27.76
31/12/1989,27.48
31/01/1990,28.45
28/02/1990,28.53
31/03/1990,27.98
30/04/1990,27.51
31/05/1990,27.9
30/06/1990,28.26
31/07/1990,27.91
31/08/1990,28.15
30/09/1990,28.94
31/10/1990,28.88
30/11/1990,29.13
31/12/1990,30.27
31/01/1991,29.69
28/02/1991,29.7
31/03/1991,29.66
30/04/1991,29.74
31/05/1991,29.55
30/06/1991,29.04
31/07/1991,29.42
31/08/1991,29.07
30/09/1991,28.47
31/10/1991,28.19
30/11/1991,27.43
31/12/1991,26.13
31/01/1992,26.81
29/02/1992,26.66
31/03/1992,26.19
30/04/1992,25.71
31/05/1992,25.42
30/06/1992,25.46
31/07/1992,25.2
31/08/1992,25
30/09/1992,24.53
31/10/1992,24.26
30/11/1992,23.99
31/12/1992,23.72
31/01/1993,23.8
27/02/1993,24.02
30/03/1993,24.01
30/04/1993,23.74
31/05/1993,23.63
30/06/1993,23.38
31/07/1993,23.1
31/08/1993,23.4
30/09/1993,23.29
31/10/1993,23.39
30/11/1993,23.69
31/12/1993,23.71
31/01/1994,23.3
28/02/1994,23.22
31/03/1994,23.27
30/04/1994,23.37
31/05/1994,23.13
30/06/1994,22.63
31/07/1994,22.38
31/08/1994,21.64
30/09/1994,21.55
31/10/1994,21.4
30/11/1994,21.24
31/12/1994,21.47
31/01/1995,19.92
28/02/1995,19.69
31/03/1995,20.05
30/04/1995,20.21
31/05/1995,20.29
30/06/1995,20.49
31/07/1995,20.16
31/08/1995,20.18
30/09/1995,19.87
31/10/1995,19.77
30/11/1995,19.56
31/12/1995,19.02
31/01/1996,19.79
29/02/1996,20.34
31/03/1996,20.13
30/04/1996,19.91
31/05/1996,19.87
30/06/1996,19.9
31/07/1996,20.43
31/08/1996,20.48
30/09/1996,20.74
31/10/1996,20.61
30/11/1996,20.18
31/12/1996,19.98
31/01/1997,19.31
28/02/1997,18.28
31/03/1997,18.14
30/04/1997,18.03
31/05/1997,17.98
30/06/1997,17.83
31/07/1997,17.12
31/08/1997,16.91
30/09/1997,16.75
31/10/1997,16.62
30/11/1997,17.03
31/12/1997,17.35
31/01/1998,17.28
28/02/1998,17.74
31/03/1998,18.01
30/04/1998,17.92
31/05/1998,17.45
30/06/1998,17.25
31/07/1998,17.41
31/08/1998,17.24
30/09/1998,17.18
31/10/1998,17.25
30/11/1998,16.81
31/12/1998,16.59
31/01/1999,16.47
28/02/1999,15.35
31/03/1999,13.92
30/04/1999,12.98
31/05/1999,12.12
30/06/1999,11.46
31/07/1999,10.69
31/08/1999,10.38
30/09/1999,9.64
31/10/1999,9.13
30/11/1999,8.98
31/12/1999,8.45
31/01/2000,7.52
29/02/2000,7.43
31/03/2000,7.67
30/04/2000,7.4
31/05/2000,7.66
30/06/2000,7.76
31/07/2000,7.93
31/08/2000,7.75
30/09/2000,7.93
31/10/2000,7.68
30/11/2000,7.67
31/12/2000,7.93
31/01/2001,7.67
28/02/2001,7.34
31/03/2001,7.37
30/04/2001,8.02
31/05/2001,8.04
30/06/2001,7.96
31/07/2001,7.87
31/08/2001,7.78
30/09/2001,7.74
31/10/2001,7.73
30/11/2001,7.47
31/12/2001,7.26
31/01/2002,7.23
28/02/2002,7.01
31/03/2002,6.34
30/04/2002,5.7
31/05/2002,5.51
30/06/2002,5.48
31/07/2002,5.35
31/08/2002,5.27
30/09/2002,5.1
31/10/2002,5.24
30/11/2002,5.64
31/12/2002,5.68
31/01/2003,6.09
28/02/2003,6.1
31/03/2003,6.25
30/04/2003,6.29
31/05/2003,6.33
30/06/2003,6.42
31/07/2003,6.37
31/08/2003,6.66
30/09/2003,6.9
31/10/2003,6.81
30/11/2003,6.51
31/12/2003,6.53
31/01/2004,6.16
29/02/2004,5.93
31/03/2004,5.83
30/04/2004,5.59
31/05/2004,5.51
30/06/2004,5.65
31/07/2004,5.86
31/08/2004,5.67
30/09/2004,5.52
31/10/2004,5.39
30/11/2004,5.39
31/12/2004,5.46
31/01/2005,5.46
28/02/2005,5.41
31/03/2005,5.15
30/04/2005,4.93
31/05/2005,4.84
30/06/2005,4.6
