Fecha,Población
31/12/1950,13570943
31/12/1951,13912947
31/12/1952,14269792
31/12/1953,14641427
31/12/1954,15027963
31/12/1955,15429614
31/12/1956,15846569
31/12/1957,16278927
31/12/1958,16726382
31/12/1959,17188568
31/12/1960,17665037
31/12/1961,18154322
31/12/1962,18654499
31/12/1963,19164082
31/12/1964,19680870
31/12/1965,20201643
31/12/1966,20723588
31/12/1967,21244248
31/12/1968,21761690
31/12/1969,22274200
31/12/1970,22780007
31/12/1971,23277852
31/12/1972,23767130
31/12/1973,24248669
31/12/1974,24724874
31/12/1975,25199544
31/12/1976,25677586
31/12/1977,26163065
31/12/1978,26658672
31/12/1979,27165971
31/12/1980,27684385
31/12/1981,28212667
31/12/1982,28748586
31/12/1983,29289744
31/12/1984,29842691
31/12/1985,30419892
31/12/1986,30980812
31/12/1987,31550132
31/12/1988,32124173
31/12/1989,32697847
31/12/1990,33268154
31/12/1991,33840991
31/12/1992,34425915
31/12/1993,35032308
31/12/1994,35629174
31/12/1995,36229830
31/12/1996,36830574
31/12/1997,37426532
31/12/1998,38012359
31/12/1999,38585016
31/12/2000,39140080
31/12/2001,39674811
31/12/2002,40190679
31/12/2003,40693254
31/12/2004,41188093
31/12/2005,41671878
31/12/2006,42170126
31/12/2007,42658630
31/12/2008,43134017
31/12/2009,43608630
31/12/2010,44086292
31/12/2011,44553416
31/12/2012,45001571
31/12/2013,45434942
31/12/2014,45866010
31/12/2015,46313898
31/12/2016,46830116
31/12/2017,47419200
31/12/2018,48258494
31/12/2019,49395678
31/12/2020,50407647
31/12/2021,51117378
31/12/2022,51682692
31/12/2023,52215503
31/12/2024,52695952
31/12/2025,53057212
