Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,501173,599150,198365,716700,426826,571924,,882841,,,506387,,474125,532186,,,494300,643393,491042,,493192,373297,434592,483429,426866,691117,509123,627373,487139,739508,634666,473564,664714,744842,589821
2013,535997,641273,209083,770132,453561,587528,,974776,,,525011,,471465,578212,,,559804,639253,580607,,550265,368145,473150,481747,443107,663466,506322,633602,495619,766317,646976,469032,744849,805200,595292
2014,576927,688794,228041,828746,486354,660754,,1029524,,,607077,,497383,608521,,,607238,694559,617314,,546201,361654,492487,505197,497831,681183,518028,700715,528900,834608,682807,472253,751737,914667,675715
2015,587004,697539,240870,833381,502538,636505,,1020722,,,622907,,554902,623374,,,595965,645759,667459,,611627,376694,531359,547979,510247,726129,548174,730619,594113,800003,746840,482300,795024,880693,659113
2016,621695,733404,270433,877380,528344,667711,,1089471,,,608773,,585083,624398,,,615670,692765,734078,,629162,423778,531540,543452,539870,834439,542929,751208,636148,765396,825986,505397,900329,903823,679775
2017,643335,754651,291873,892147,560406,714269,,1078551,,,632096,,577292,629262,,,662458,714707,787051,,699992,429674,536549,607408,568309,855829,583053,790352,691534,777612,836330,524769,916548,935209,758366
2018,674446,795410,290222,940837,591605,763282,,1164577,,,672802,,616709,628621,,,641737,762332,744009,,739686,441483,550139,615192,609997,862007,566893,871808,713614,813084,863635,512622,993052,980467,764089
2019,697805,824373,289603,985385,600053,834743,,1239342,,,692526,,657414,667243,,,683449,732138,836655,,764174,536972,554015,636424,586361,852359,578723,895614,727318,802256,917632,535179,998722,1016274,768215
2020,627366,726798,302120,849113,557432,736323,,1049661,,,594417,,571634,503941,,,579805,570043,763791,,710191,471671,481743,552073,485288,736691,509949,707579,614707,687761,738258,506463,895643,944054,709884
2021,772538,904825,335399,1108793,624634,853726,,1470160,,,736450,,657453,756000,,,782028,761899,977941,,918739,493948,526255,675128,570630,957974,607669,1032566,731747,901987,946443,572110,1113372,1092373,916197
2022,919151,1073933,404034,1319667,738570,1016174,998483.0,1653295,1276996.0,1273542.0,873048,719799.0,801836,921594,1272794.0,1392411.0,804326,877433,1086688,1161633.0,1112208,642486,598367,793050,675412,1177037,654233,1101429,872008,1160153,1255007,740794,1260726,1418113,1066350
2023,1054223,1229325,467899,1513089,844158,1175250,1231030.0,1930626,1453215.0,1355461.0,952891,837994.0,858422,1030110,1463688.0,1570890.0,975217,1011679,1280815,1290917.0,1161231,704027,691505,890316,792012,1373211,720675,1132294,1068582,1353109,1335555,849304,1459344,1605348,1167470
2024,1169770,1367737,503319,1696473,923076,1347085,1274175.0,2191517,1531949.0,1415431.0,1030238,921402.0,1009375,1237954,1610289.0,1807631.0,1159143,1158852,1407521,1445864.0,1281185,768712,740172,929924,840044,1509279,801096,1394788,1118076,1397198,1398066,949852,1607774,1856961,1335886
2025,1281590,1492582,568071,1810188,1064163,1373871,1390697.0,2297080,1632502.0,1584398.0,1107779,990871.0,1146030,1388292,1708281.0,1929483.0,1150413,1211202,1370170,1485948.0,1276609,792081,807642,1101484,931149,1483268,909336,1373063,1215775,1579308,1572437,1013167,1686192,1998104,1443161
