Concepto,2005-I,2005-II,2005-III,2005-IV,2006-I,2006-II,2006-III,2006-IV,2007-I,2007-II,2007-III,2007-IV,2008-I,2008-II,2008-III,2008-IV,2009-I,2009-II,2009-III,2009-IV,2010-I,2010-II,2010-III,2010-IV,2011-I,2011-II,2011-III,2011-IV,2012-I,2012-II,2012-III,2012-IV,2013-I,2013-II,2013-III,2013-IV,2014-I,2014-II,2014-III,2014-IV,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV,2026pr-I,2026pr-II
Demanda interna1,113932,124087,123344,140035,123814,133231,137782,148811,135407,144786,148601,160096,143788,151865,156124,168381,145532,153255,154795,168151,151167,162605,164870,180674,163110,176886,180399,194551,175010,187933,185962,201063,182375,198562,200277,212922,195444,209080,209496,227661,201364,212548,219436,228157,208070,213947,220371,229706,210289,216678,223347,231584,213667,224258,231146,243370,223425,232659,242122,250928,224607,190729,218535,243688,228883,236551,254918,274565,258739,269162,280962,288050,262422,263465,265869,278725,255274,266902,275121,290425,267526,277279,288648,296056,274306,290786
Gasto de consumo final,96828,100410,102605,119234,102452,106040,109474,126977,108439,111780,116909,135463,114403,116981,120927,140196,117215,120060,123354,142787,121816,125687,130089,151410,127450,133772,137246,160525,136263,140710,144490,168231,142837,149050,151938,177441,149687,154957,158192,185298,155722,161713,166720,186045,158565,164098,166933,191505,160472,168621,171927,195954,166272,175726,178794,203856,171811,183082,186938,213924,178494,156964,172968,215482,184378,191518,205146,242521,206014,221015,222962,247836,210283,222092,223422,248125,210453,225331,224996,256388,218620,234214,237930,266270,227711,244617
Gasto de consumo final individual de los hogares; gasto de consumo final de las ISFLH2,82038,84949,86758,94995,86994,90323,92812,100824,92916,95728,99218,107398,97990,99425,102760,111351,100027,101872,104010,112646,103800,106510,109964,119430,108556,113237,115726,126372,116520,119288,122168,132050,121788,125699,127422,137789,126812,130402,132765,144505,131347,134568,137906,147192,134711,136277,138975,149776,135914,139853,142786,152682,140486,144736,147347,157153,144585,149986,153727,165430,151602,124339,140330,166727,154411,155980,168165,190282,173360,181889,186530,199225,178413,183223,185663,197509,179360,185438,189278,202946,186622,192458,196877,207669,191634,197870
Gasto de consumo final del gobierno general,14795,15481,15874,24225,15467,15749,16696,26132,15579,16129,17750,27969,16501,17631,18252,28680,17190,18205,19363,30167,18049,19218,20171,31925,18937,20584,21569,34061,19737,21432,22341,36214,21043,23359,24529,39666,22884,24577,25455,40758,24375,27145,28814,38853,23854,27821,27959,41729,24437,28730,29096,43520,25738,30991,31447,46853,27197,33111,33220,48624,26867,32678,32667,48860,30023,35584,37034,52280,32404,39061,36216,48771,31243,38786,37526,51324,30609,39850,35379,53973,31692,41702,40948,58949,35882,46795
Formación bruta de capital,18550,23914,21770,22486,22240,27234,28213,23718,27085,32621,31425,26293,29447,34605,34764,29274,28674,33083,31663,26606,29706,36647,34768,30382,35513,42894,42623,34822,38602,47073,41403,33273,39571,49532,48143,35623,45624,54365,51205,42339,45628,50835,52725,42117,49508,49850,53436,38200,49861,48065,51451,35451,47434,48544,52419,39212,51683,49565,55244,36655,46061,33671,45525,27946,44265,44812,49499,32347,52398,47983,57626,40337,51868,41328,42387,30824,44736,41533,50017,34102,48787,43027,50613,29924,46435,46089
Formación bruta de capital fijo,18507,19918,20553,26959,20660,22856,25926,32628,26638,29354,30867,35514,24056,30171,30064,34759,25752,30822,32017,35762,25623,33919,33380,40266,30263,36864,38556,43772,31660,39744,39330,43702,34741,42393,40953,49447,38897,45794,46746,51520,40789,48656,48479,50171,38483,47212,45284,51679,40402,46581,47630,51433,39326,48457,48182,52011,44525,48941,48914,49799,39643,27747,36407,42987,41630,39403,41645,48613,47209,43650,47319,52807,44794,38066,39827,43822,40385,38146,40788,48304,40504,38748,43196,47602,42172,41456
Exportaciones,19831,22334,22883,23077,22337,23616,24649,25911,22749,23879,26699,29188,25887,26784,26682,25251,24406,24028,24750,25974,24198,25177,25211,26618,27426,28064,28190,29927,29770,28695,30038,30187,28895,31198,30327,33821,30502,30299,31231,31850,30585,32191,30319,32841,30068,30730,30634,34241,31009,31689,31797,34407,30290,31637,32293,35510,32384,33754,33131,34462,30088,23187,23824,26596,27045,26415,30084,35326,31625,32972,34297,34789,32784,33600,34396,37065,32659,33655,34085,37984,32689,33325,35581,39361,33245,32980
Importaciones,17192,19339,20415,21762,19843,22700,24811,25271,22972,25139,27951,29399,26870,27925,30611,33250,26942,25673,26739,29041,26873,29019,30984,33258,32036,35553,37144,39703,36719,38997,40954,41308,39193,42789,44415,45046,42509,45821,46418,49999,43154,44378,48338,46880,42232,43640,44203,46204,43271,44759,44860,45185,42666,46806,47121,51820,47737,51081,52288,51144,45678,33918,38905,43112,43283,49489,54303,57735,60124,62223,67256,64368,59000,57091,54910,57496,51720,57054,59475,62908,57946,62781,65631,64564,60057,67461
Producto Interno Bruto,121115,125558,129220,138960,128836,132241,139112,149246,137482,141316,148648,159011,144600,148077,153582,159455,144809,149107,154400,164299,150425,156000,160650,173077,160667,166593,173370,183998,170706,174583,177202,188924,174557,184038,188350,200994,186101,190345,196603,208541,191359,196859,203635,212840,195904,201037,206804,217745,198000,203590,210299,220768,201267,209185,216358,227198,208266,215624,223120,234214,208970,179583,202856,226491,212146,212673,229903,251522,229312,238981,246877,257485,235764,240007,245810,259262,236284,243569,249666,265971,242331,248150,259114,271477,247631,256894
