Periodo,Grupo,Categoria,Actividad,Sexo,hh:mm,L.i.,L.s.,cve %
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades personales,Total,16:36,16:29,16:42,
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades personales,Hombre,16:41,16:33,16:49,
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades personales,Mujer,16:30,16:22,16:38,
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Educación y formación,Total,6:16,6:07,6:24,
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Educación y formación,Hombre,6:24,6:13,6:35,
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Educación y formación,Mujer,6:06,5:55,6:18,
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Vida social,Total,1:59,1:56,2:01,1.0999999999999999
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Vida social,Hombre,2:04,2:01,2:07,1.2
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Vida social,Mujer,1:54,1:51,1:56,1.2
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,"Vida cultural, aficiones o deporte",Total,1:36,1:33,1:39,1.7000000000000002
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,"Vida cultural, aficiones o deporte",Hombre,1:47,1:43,1:51,1.7999999999999998
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,"Vida cultural, aficiones o deporte",Mujer,1:21,1:17,1:25,2.3
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Uso de medios de comunicación,Total,3:17,3:13,3:21,1.0
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Uso de medios de comunicación,Hombre,3:18,3:13,3:22,1.0999999999999999
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Uso de medios de comunicación,Mujer,3:17,3:12,3:22,1.3
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades de cuidado personal,Total,10:44,10:41,10:48,0.3
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades de cuidado personal,Hombre,10:39,10:35,10:43,0.3
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades de cuidado personal,Mujer,10:50,10:46,10:54,0.3
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Vida religiosa,Total,0:48,0:45,0:51,3.3000000000000003
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Vida religiosa,Hombre,0:47,0:42,0:52,5.3
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Vida religiosa,Mujer,0:49,0:47,0:52,2.5
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades conexas a las actividades personales,Total,1:14,1:09,1:19,3.4000000000000004
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades conexas a las actividades personales,Hombre,1:12,1:06,1:18,4.0
2024-09_2025-08,Dominio geográfico,Centros poblados y rural disperso,Actividades conexas a las actividades personales,Mujer,1:16,1:09,1:22,4.2
2024-09_2025-08,Regiones,Caribe,Actividades personales,Total,16:48,16:42,16:54,
2024-09_2025-08,Regiones,Caribe,Actividades personales,Hombre,16:57,16:50,17:04,
2024-09_2025-08,Regiones,Caribe,Actividades personales,Mujer,16:40,16:33,16:46,
2024-09_2025-08,Regiones,Caribe,Educación y formación,Total,5:51,5:44,5:58,
2024-09_2025-08,Regiones,Caribe,Educación y formación,Hombre,5:56,5:46,6:05,
2024-09_2025-08,Regiones,Caribe,Educación y formación,Mujer,5:46,5:36,5:56,
2024-09_2025-08,Regiones,Caribe,Vida social,Total,2:07,2:04,2:09,1.0
2024-09_2025-08,Regiones,Caribe,Vida social,Hombre,2:11,2:08,2:14,1.2
