Periodo,Grupo,Categoria,Actividad,Sexo,hh:mm,L.i.,L.s.,cve %
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Uso de medios de comunicación,Hombre,4:14,4:08,4:19,1.0999999999999999
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Uso de medios de comunicación,Mujer,3:58,3:53,4:03,1.0999999999999999
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades de cuidado personal,Total,10:12,10:09,10:15,0.3
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades de cuidado personal,Hombre,10:04,10:00,10:08,0.4
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades de cuidado personal,Mujer,10:19,10:15,10:22,0.3
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Vida religiosa,Total,0:42,0:38,0:45,3.8
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Vida religiosa,Hombre,0:43,0:36,0:49,7.9
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Vida religiosa,Mujer,0:41,0:38,0:44,3.5000000000000004
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades conexas a las actividades personales,Total,1:47,1:41,1:53,2.9000000000000004
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades conexas a las actividades personales,Hombre,1:41,1:35,1:48,3.4000000000000004
2024-09_2025-08,Grupos de edad,De 18 a 29 años,Actividades conexas a las actividades personales,Mujer,1:52,1:43,2:00,3.9
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades personales,Total,15:36,15:29,15:43,
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades personales,Hombre,15:46,15:35,15:56,
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades personales,Mujer,15:27,15:19,15:35,
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Educación y formación,Total,4:03,3:45,4:20,
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Educación y formación,Hombre,3:57,3:35,4:20,
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Educación y formación,Mujer,4:08,3:42,4:33,
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Vida social,Total,2:05,2:02,2:09,1.5
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Vida social,Hombre,2:13,2:07,2:18,2.0
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Vida social,Mujer,1:58,1:54,2:02,1.7000000000000002
2024-09_2025-08,Grupos de edad,De 30 a 39 años,"Vida cultural, aficiones o deporte",Total,1:34,1:31,1:37,1.6
2024-09_2025-08,Grupos de edad,De 30 a 39 años,"Vida cultural, aficiones o deporte",Hombre,1:41,1:37,1:46,2.1
2024-09_2025-08,Grupos de edad,De 30 a 39 años,"Vida cultural, aficiones o deporte",Mujer,1:25,1:21,1:29,2.3
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Uso de medios de comunicación,Total,3:49,3:45,3:53,0.8999999999999999
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Uso de medios de comunicación,Hombre,3:57,3:51,4:02,1.2
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Uso de medios de comunicación,Mujer,3:42,3:37,3:47,1.2
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades de cuidado personal,Total,9:48,9:45,9:51,0.3
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades de cuidado personal,Hombre,9:42,9:38,9:46,0.4
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades de cuidado personal,Mujer,9:53,9:49,9:57,0.3
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Vida religiosa,Total,0:44,0:41,0:47,3.5999999999999996
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Vida religiosa,Hombre,0:41,0:37,0:45,5.0
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Vida religiosa,Mujer,0:46,0:42,0:50,4.1000000000000005
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades conexas a las actividades personales,Total,1:51,1:37,2:06,6.7
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades conexas a las actividades personales,Hombre,1:49,1:27,2:11,10.4
2024-09_2025-08,Grupos de edad,De 30 a 39 años,Actividades conexas a las actividades personales,Mujer,1:53,1:34,2:13,8.7
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades personales,Total,15:35,15:27,15:43,
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades personales,Hombre,15:33,15:22,15:44,
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades personales,Mujer,15:37,15:27,15:46,
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Educación y formación,Total,3:44,3:21,4:06,
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Educación y formación,Hombre,3:22,2:59,3:45,
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Educación y formación,Mujer,4:02,3:27,4:37,
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Vida social,Total,2:05,2:01,2:09,1.5
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Vida social,Hombre,2:06,2:01,2:11,2.0
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Vida social,Mujer,2:04,2:00,2:08,1.7000000000000002
2024-09_2025-08,Grupos de edad,De 40 a 49 años,"Vida cultural, aficiones o deporte",Total,1:29,1:26,1:33,2.0
2024-09_2025-08,Grupos de edad,De 40 a 49 años,"Vida cultural, aficiones o deporte",Hombre,1:38,1:33,1:43,2.7
2024-09_2025-08,Grupos de edad,De 40 a 49 años,"Vida cultural, aficiones o deporte",Mujer,1:21,1:17,1:25,2.5
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Uso de medios de comunicación,Total,3:48,3:42,3:53,1.2
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Uso de medios de comunicación,Hombre,3:56,3:48,4:04,1.7000000000000002
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Uso de medios de comunicación,Mujer,3:40,3:35,3:46,1.3
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades de cuidado personal,Total,9:47,9:44,9:51,0.3
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades de cuidado personal,Hombre,9:38,9:33,9:44,0.5
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades de cuidado personal,Mujer,9:56,9:52,10:00,0.4
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Vida religiosa,Total,0:47,0:45,0:50,2.9000000000000004
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Vida religiosa,Hombre,0:43,0:39,0:47,4.5
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Vida religiosa,Mujer,0:50,0:47,0:53,2.7
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades conexas a las actividades personales,Total,2:02,1:33,2:32,12.3
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades conexas a las actividades personales,Hombre,1:42,1:22,2:03,10.2
2024-09_2025-08,Grupos de edad,De 40 a 49 años,Actividades conexas a las actividades personales,Mujer,2:14,1:30,2:57,16.7
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades personales,Total,15:39,15:31,15:48,
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades personales,Hombre,15:34,15:22,15:46,
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades personales,Mujer,15:44,15:35,15:53,
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Educación y formación,Total,3:21,2:52,3:49,
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Educación y formación,Hombre,3:13,2:39,3:48,
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Educación y formación,Mujer,3:27,2:43,4:11,
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Vida social,Total,2:06,2:01,2:11,2.1999999999999997
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Vida social,Hombre,2:09,2:01,2:17,3.3000000000000003
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Vida social,Mujer,2:03,1:58,2:09,2.1999999999999997
2024-09_2025-08,Grupos de edad,De 50 a 59 años,"Vida cultural, aficiones o deporte",Total,1:16,1:13,1:19,1.7999999999999998
2024-09_2025-08,Grupos de edad,De 50 a 59 años,"Vida cultural, aficiones o deporte",Hombre,1:22,1:18,1:26,2.6
2024-09_2025-08,Grupos de edad,De 50 a 59 años,"Vida cultural, aficiones o deporte",Mujer,1:11,1:08,1:14,2.3
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Uso de medios de comunicación,Total,3:44,3:39,3:48,1.0
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Uso de medios de comunicación,Hombre,3:46,3:39,3:53,1.6
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Uso de medios de comunicación,Mujer,3:42,3:37,3:47,1.2
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades de cuidado personal,Total,9:54,9:50,9:58,0.4
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades de cuidado personal,Hombre,9:49,9:42,9:56,0.6
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades de cuidado personal,Mujer,9:58,9:54,10:03,0.4
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Vida religiosa,Total,0:51,0:48,0:54,2.7
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Vida religiosa,Hombre,0:48,0:43,0:53,5.1
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Vida religiosa,Mujer,0:53,0:50,0:55,2.7
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades conexas a las actividades personales,Total,2:02,1:32,2:33,12.8
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades conexas a las actividades personales,Hombre,2:40,1:24,3:55,24.2
2024-09_2025-08,Grupos de edad,De 50 a 59 años,Actividades conexas a las actividades personales,Mujer,1:41,1:27,1:54,6.800000000000001
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades personales,Total,16:32,16:25,16:38,
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades personales,Hombre,16:32,16:23,16:41,
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades personales,Mujer,16:31,16:24,16:39,
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Educación y formación,Total,2:30,2:01,2:59,
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Educación y formación,Hombre,2:04,1:26,2:42,
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Educación y formación,Mujer,2:42,2:06,3:18,
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Vida social,Total,2:04,2:02,2:07,1.0
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Vida social,Hombre,2:06,2:03,2:10,1.4000000000000001
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Vida social,Mujer,2:02,1:59,2:06,1.3
2024-09_2025-08,Grupos de edad,De 60 a 75 años,"Vida cultural, aficiones o deporte",Total,1:19,1:16,1:23,2.3
2024-09_2025-08,Grupos de edad,De 60 a 75 años,"Vida cultural, aficiones o deporte",Hombre,1:29,1:23,1:35,3.5999999999999996
2024-09_2025-08,Grupos de edad,De 60 a 75 años,"Vida cultural, aficiones o deporte",Mujer,1:10,1:08,1:13,1.9
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Uso de medios de comunicación,Total,3:51,3:48,3:55,0.8
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Uso de medios de comunicación,Hombre,3:56,3:50,4:02,1.3
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Uso de medios de comunicación,Mujer,3:48,3:44,3:51,0.8999999999999999
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades de cuidado personal,Total,10:24,10:20,10:28,0.3
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades de cuidado personal,Hombre,10:20,10:15,10:26,0.4
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades de cuidado personal,Mujer,10:27,10:23,10:31,0.3
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Vida religiosa,Total,0:54,0:52,0:56,1.9
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Vida religiosa,Hombre,0:48,0:45,0:52,3.4000000000000004
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Vida religiosa,Mujer,0:57,0:55,0:59,2.0
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades conexas a las actividades personales,Total,1:52,1:41,2:03,5.1
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades conexas a las actividades personales,Hombre,2:10,1:49,2:32,8.5
2024-09_2025-08,Grupos de edad,De 60 a 75 años,Actividades conexas a las actividades personales,Mujer,1:39,1:29,1:50,5.5
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades personales,Total,18:33,18:22,18:44,
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades personales,Hombre,18:39,18:21,18:56,
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades personales,Mujer,18:29,18:16,18:42,
2024-09_2025-08,Grupos de edad,De 76 años y más,Educación y formación,Total,2:51,1:30,4:12,
2024-09_2025-08,Grupos de edad,De 76 años y más,Educación y formación,Hombre,1:54,0:54,2:55,
2024-09_2025-08,Grupos de edad,De 76 años y más,Educación y formación,Mujer,3:33,1:34,5:32,
2024-09_2025-08,Grupos de edad,De 76 años y más,Vida social,Total,2:11,2:06,2:16,1.9
2024-09_2025-08,Grupos de edad,De 76 años y más,Vida social,Hombre,2:15,2:10,2:20,2.0
2024-09_2025-08,Grupos de edad,De 76 años y más,Vida social,Mujer,2:08,2:01,2:14,2.8000000000000003
2024-09_2025-08,Grupos de edad,De 76 años y más,"Vida cultural, aficiones o deporte",Total,1:15,1:10,1:19,3.0
2024-09_2025-08,Grupos de edad,De 76 años y más,"Vida cultural, aficiones o deporte",Hombre,1:17,1:11,1:24,4.3
2024-09_2025-08,Grupos de edad,De 76 años y más,"Vida cultural, aficiones o deporte",Mujer,1:12,1:07,1:17,3.6999999999999997
2024-09_2025-08,Grupos de edad,De 76 años y más,Uso de medios de comunicación,Total,4:11,4:05,4:17,1.2
2024-09_2025-08,Grupos de edad,De 76 años y más,Uso de medios de comunicación,Hombre,4:22,4:14,4:31,1.6
2024-09_2025-08,Grupos de edad,De 76 años y más,Uso de medios de comunicación,Mujer,4:03,3:56,4:09,1.4000000000000001
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades de cuidado personal,Total,12:08,12:00,12:17,0.6
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades de cuidado personal,Hombre,12:05,11:53,12:17,0.8999999999999999
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades de cuidado personal,Mujer,12:11,12:00,12:22,0.8
2024-09_2025-08,Grupos de edad,De 76 años y más,Vida religiosa,Total,0:56,0:53,0:59,2.8000000000000003
2024-09_2025-08,Grupos de edad,De 76 años y más,Vida religiosa,Hombre,0:49,0:45,0:54,4.7
2024-09_2025-08,Grupos de edad,De 76 años y más,Vida religiosa,Mujer,0:59,0:56,1:02,3.0
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades conexas a las actividades personales,Total,1:40,1:28,1:51,6.0
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades conexas a las actividades personales,Hombre,1:33,1:14,1:51,10.299999999999999
2024-09_2025-08,Grupos de edad,De 76 años y más,Actividades conexas a las actividades personales,Mujer,1:45,1:30,2:00,7.3999999999999995
2020-09_2021-08,Total nacional,Total nacional,Actividades personales,Total,16:27,16:23,16:31,0.2
2020-09_2021-08,Total nacional,Total nacional,Actividades personales,Hombre,16:35,16:30,16:39,0.2
2020-09_2021-08,Total nacional,Total nacional,Actividades personales,Mujer,16:19,16:15,16:24,0.2
2020-09_2021-08,Total nacional,Total nacional,Educación y formación,Total,4:55:00,4:50:00,4:59:00,0.80108421
2020-09_2021-08,Total nacional,Total nacional,Educación y formación,Hombre,4:52:00,4:46:00,4:58:00,1.0155765
2020-09_2021-08,Total nacional,Total nacional,Educación y formación,Mujer,4:58:00,4:52:00,5:03:00,0.96593218
2020-09_2021-08,Total nacional,Total nacional,Vida social,Total,1:58,1:56,1:59,0.6
2020-09_2021-08,Total nacional,Total nacional,Vida social,Hombre,2:01,1:59,2:03,0.8
2020-09_2021-08,Total nacional,Total nacional,Vida social,Mujer,1:54,1:53,1:56,0.7
2020-09_2021-08,Total nacional,Total nacional,"Vida cultural, aficiones o deporte",Total,1:30,1:29,1:32,0.7
2020-09_2021-08,Total nacional,Total nacional,"Vida cultural, aficiones o deporte",Hombre,1:40,1:38,1:41,0.8
2020-09_2021-08,Total nacional,Total nacional,"Vida cultural, aficiones o deporte",Mujer,1:19,1:18,1:21,0.9
2020-09_2021-08,Total nacional,Total nacional,Uso de medios de comunicación,Total,4:01:00,3:59:00,4:03:00,0.45365207
2020-09_2021-08,Total nacional,Total nacional,Uso de medios de comunicación,Hombre,4:07:00,4:04:00,4:09:00,0.50287248
2020-09_2021-08,Total nacional,Total nacional,Uso de medios de comunicación,Mujer,3:56:00,3:53:00,3:58:00,0.49929161
2020-09_2021-08,Total nacional,Total nacional,Actividades de cuidado personal,Total,10:19:00,10:17:00,10:21:00,0.19069584
2020-09_2021-08,Total nacional,Total nacional,Actividades de cuidado personal,Hombre,10:14:00,10:11:00,10:17:00,0.21658603699583165
2020-09_2021-08,Total nacional,Total nacional,Actividades de cuidado personal,Mujer,10:24:00,10:21:00,10:26:00,0.19980422962013175
2020-09_2021-08,Total nacional,Total nacional,Vida religiosa,Total,0:40:00,0:39:00,0:41:00,1.0310599
2020-09_2021-08,Total nacional,Total nacional,Vida religiosa,Hombre,0:35:00,0:34:00,0:36:00,1.5363308
2020-09_2021-08,Total nacional,Total nacional,Vida religiosa,Mujer,0:42:00,0:42:00,0:43:00,1.0182324
2020-09_2021-08,Total nacional,Total nacional,Actividades conexas a las actividades personales,Total,1:25,1:19,1:31,3.6
2020-09_2021-08,Total nacional,Total nacional,Actividades conexas a las actividades personales,Hombre,1:23,1:14,1:33,5.8
2020-09_2021-08,Total nacional,Total nacional,Actividades conexas a las actividades personales,Mujer,1:26,1:19,1:32,3.8
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades personales,Total,16:40,16:35,16:44,0.2
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades personales,Hombre,16:50,16:44,16:56,0.3
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades personales,Mujer,16:30,16:25,16:35,0.3
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Educación y formación,Total,5:00:00,4:55:00,5:05:00,0.84736495
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Educación y formación,Hombre,4:56:00,4:49:00,5:02:00,1.0812464
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Educación y formación,Mujer,5:04:00,4:58:00,5:10:00,1.0650628
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Vida social,Total,1:57,1:56,1:59,0.7
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Vida social,Hombre,2:00,1:58,2:02,0.9
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Vida social,Mujer,1:55,1:53,1:56,0.8
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,"Vida cultural, aficiones o deporte",Total,1:29,1:28,1:31,0.8
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,"Vida cultural, aficiones o deporte",Hombre,1:38,1:36,1:40,0.9
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,"Vida cultural, aficiones o deporte",Mujer,1:19,1:17,1:21,1.0
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Uso de medios de comunicación,Total,4:12:00,4:10:00,4:15:00,0.48223034
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Uso de medios de comunicación,Hombre,4:21:00,4:18:00,4:23:00,0.53607183
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Uso de medios de comunicación,Mujer,4:05:00,4:02:00,4:07:00,0.53240166
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades de cuidado personal,Total,10:15:00,10:12:00,10:17:00,0.20538705
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades de cuidado personal,Hombre,10:10:00,10:07:00,10:12:00,0.235786796687418
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades de cuidado personal,Mujer,10:19:00,10:17:00,10:22:00,0.21770315416553684
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Vida religiosa,Total,0:38:00,0:38:00,0:39:00,1.0551212
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Vida religiosa,Hombre,0:33:00,0:32:00,0:34:00,1.5672696
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Vida religiosa,Mujer,0:41:00,0:40:00,0:42:00,1.0629443
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades conexas a las actividades personales,Total,1:27,1:20,1:34,4.0
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades conexas a las actividades personales,Hombre,1:27,1:15,1:38,6.6
2020-09_2021-08,Dominio geográfico,Cabeceras municipales,Actividades conexas a las actividades personales,Mujer,1:27,1:20,1:34,4.1
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades personales,Total,15:42,15:31,15:53,0.6
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades personales,Hombre,15:45,15:33,15:58,0.7
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades personales,Mujer,15:39,15:27,15:50,0.6
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Educación y formación,Total,4:37:00,4:26:00,4:49:00,2.1249584
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Educación y formación,Hombre,4:39:00,4:25:00,4:54:00,2.627876
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Educación y formación,Mujer,4:35:00,4:23:00,4:47:00,2.2338348
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Vida social,Total,1:58,1:54,2:01,1.6
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Vida social,Hombre,2:03,1:58,2:07,1.8
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Vida social,Mujer,1:52,1:49,1:56,1.6
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,"Vida cultural, aficiones o deporte",Total,1:37,1:33,1:40,1.8
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,"Vida cultural, aficiones o deporte",Hombre,1:47,1:42,1:51,2.1
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,"Vida cultural, aficiones o deporte",Mujer,1:21,1:17,1:24,2.4
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Uso de medios de comunicación,Total,3:19:00,3:15:00,3:23:00,1.0668637
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Uso de medios de comunicación,Hombre,3:19:00,3:14:00,3:24:00,1.1991413
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Uso de medios de comunicación,Mujer,3:19:00,3:14:00,3:23:00,1.1935007
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades de cuidado personal,Total,10:34:00,10:28:00,10:39:00,0.43696768
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades de cuidado personal,Hombre,10:28:00,10:22:00,10:34:00,0.4936353591399866
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades de cuidado personal,Mujer,10:41:00,10:35:00,10:46:00,0.4578581317171473
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Vida religiosa,Total,0:48:00,0:45:00,0:51:00,2.8744389
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Vida religiosa,Hombre,0:46:00,0:42:00,0:50:00,4.3269174
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Vida religiosa,Mujer,0:49:00,0:46:00,0:52:00,2.7089946
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades conexas a las actividades personales,Total,1:17,1:04,1:30,8.5
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades conexas a las actividades personales,Hombre,1:12,0:57,1:28,11.1
2020-09_2021-08,Dominio geográfico,Centros poblados y rural disperso,Actividades conexas a las actividades personales,Mujer,1:21,1:06,1:37,9.7
2020-09_2021-08,Regiones,Caribe,Actividades personales,Total,16:32,16:23,16:40,0.4
2020-09_2021-08,Regiones,Caribe,Actividades personales,Hombre,16:36,16:26,16:45,0.5
2020-09_2021-08,Regiones,Caribe,Actividades personales,Mujer,16:28,16:19,16:36,0.5
2020-09_2021-08,Regiones,Caribe,Educación y formación,Total,4:34:00,4:25:00,4:43:00,1.6671843
2020-09_2021-08,Regiones,Caribe,Educación y formación,Hombre,4:28:00,4:17:00,4:39:00,2.0366142
2020-09_2021-08,Regiones,Caribe,Educación y formación,Mujer,4:40:00,4:30:00,4:51:00,1.8955771
2020-09_2021-08,Regiones,Caribe,Vida social,Total,2:01,1:58,2:03,1.1
2020-09_2021-08,Regiones,Caribe,Vida social,Hombre,2:06,2:02,2:09,1.4
2020-09_2021-08,Regiones,Caribe,Vida social,Mujer,1:55,1:53,1:58,1.2
2020-09_2021-08,Regiones,Caribe,"Vida cultural, aficiones o deporte",Total,1:41,1:37,1:44,1.5
2020-09_2021-08,Regiones,Caribe,"Vida cultural, aficiones o deporte",Hombre,1:51,1:46,1:55,1.9
2020-09_2021-08,Regiones,Caribe,"Vida cultural, aficiones o deporte",Mujer,1:26,1:23,1:29,1.9
2020-09_2021-08,Regiones,Caribe,Uso de medios de comunicación,Total,3:36:00,3:32:00,3:39:00,0.8704956
2020-09_2021-08,Regiones,Caribe,Uso de medios de comunicación,Hombre,3:41:00,3:37:00,3:45:00,0.98026337
2020-09_2021-08,Regiones,Caribe,Uso de medios de comunicación,Mujer,3:31:00,3:27:00,3:35:00,0.94640082
2020-09_2021-08,Regiones,Caribe,Actividades de cuidado personal,Total,10:51:00,10:46:00,10:55:00,0.34710517
2020-09_2021-08,Regiones,Caribe,Actividades de cuidado personal,Hombre,10:42:00,10:38:00,10:47:00,0.3828732750168965
2020-09_2021-08,Regiones,Caribe,Actividades de cuidado personal,Mujer,10:41:00,10:35:00,10:46:00,0.4578581317171473
2020-09_2021-08,Regiones,Caribe,Vida religiosa,Total,0:43:00,0:41:00,0:45:00,2.524385
2020-09_2021-08,Regiones,Caribe,Vida religiosa,Hombre,0:38:00,0:35:00,0:41:00,3.8981866
2020-09_2021-08,Regiones,Caribe,Vida religiosa,Mujer,0:45:00,0:43:00,0:47:00,2.3144506
2020-09_2021-08,Regiones,Caribe,Actividades conexas a las actividades personales,Total,1:33,1:20,1:46,7.2
2020-09_2021-08,Regiones,Caribe,Actividades conexas a las actividades personales,Hombre,1:35,1:15,1:55,10.9
2020-09_2021-08,Regiones,Caribe,Actividades conexas a las actividades personales,Mujer,1:32,1:15,1:48,9.0
2020-09_2021-08,Regiones,Central,Actividades personales,Total,17:18,17:12,17:24,0.3
2020-09_2021-08,Regiones,Central,Actividades personales,Hombre,17:27,17:20,17:35,0.4
2020-09_2021-08,Regiones,Central,Actividades personales,Mujer,17:09,17:03,17:15,0.3
2020-09_2021-08,Regiones,Central,Educación y formación,Total,5:15:00,5:05:00,5:25:00,1.5810209
2020-09_2021-08,Regiones,Central,Educación y formación,Hombre,5:14:00,5:01:00,5:26:00,2.0133508
2020-09_2021-08,Regiones,Central,Educación y formación,Mujer,5:17:00,5:05:00,5:29:00,1.8771459
2020-09_2021-08,Regiones,Central,Vida social,Total,2:04,2:01,2:07,1.2
2020-09_2021-08,Regiones,Central,Vida social,Hombre,2:07,2:03,2:10,1.4
