"iso","alert__year","alert__week","alert__count","confidence__cat"
"COL",2016,41,3,"h"
"COL",2014,41,1,"h"
"COL",2013,35,32,"h"
"COL",2016,37,50,"h"
"COL",2015,43,12,"h"
"COL",2014,34,17,"h"
"COL",2014,18,8,"h"
"COL",2018,17,2,"h"
"COL",2017,17,5,"h"
"COL",2022,38,44,"h"
"COL",2014,1,57,"h"
"COL",2019,44,8,"h"
"COL",2022,52,146,"h"
"COL",2013,21,6,"h"
"COL",2016,4,998,"h"
"COL",2015,48,16,"h"
"COL",2023,40,41,"h"
"COL",2019,1,86,"h"
"COL",2017,8,197,"h"
"COL",2018,8,919,"h"
"COL",2014,2,186,"h"
"COL",2014,31,58,"h"
"COL",2025,5,36,"h"
"COL",2019,19,2,"h"
"COL",2023,43,11,"h"
"COL",2016,6,163,"h"
"COL",2018,39,23,"h"
"COL",2021,9,763,"h"
"COL",2020,18,15,"h"
"COL",2015,27,92,"h"
"COL",2015,46,6,"h"
"COL",2021,23,2,"h"
"COL",2017,1,14,"h"
"COL",2012,35,43,"h"
"COL",2019,33,27,"h"
"COL",2014,11,336,"h"
"COL",2014,29,49,"h"
"COL",2024,49,111,"h"
"COL",2023,32,38,"h"
"COL",2013,44,27,"h"
"COL",2023,20,3,"h"
"COL",2024,35,46,"h"
"COL",2020,7,935,"h"
"COL",2023,3,72,"h"
"COL",2012,13,37,"h"
"COL",2012,43,15,"h"
"COL",2019,15,112,"h"
"COL",2013,51,81,"h"
"COL",2014,6,182,"h"
"COL",2020,16,226,"h"
"COL",2015,3,137,"h"
"COL",2025,16,54,"h"
"COL",2020,2,235,"h"
"COL",2022,34,10,"h"
"COL",2020,45,7,"h"
"COL",2026,14,80,"h"
"COL",2022,29,15,"h"
"COL",2022,26,5,"h"
"COL",2015,39,66,"h"
"COL",2018,38,39,"h"
"COL",2025,41,11,"h"
"COL",2022,51,119,"h"
"COL",2018,26,4,"h"
"COL",2020,23,4,"h"
"COL",2016,14,169,"h"
"COL",2019,25,2,"h"
"COL",2015,6,62,"h"
"COL",2012,29,26,"h"
"COL",2015,12,185,"h"
"COL",2024,41,5,"h"
"COL",2015,42,15,"h"
"COL",2017,10,53,"h"
"COL",2015,28,19,"h"
"COL",2026,3,12,"h"
"COL",2024,47,4,"h"
"COL",2021,24,3,"h"
"COL",2019,24,7,"h"
"COL",2024,8,901,"h"
"COL",2018,34,30,"h"
"COL",2023,39,33,"h"
"COL",2014,23,5,"h"
"COL",2024,51,19,"h"
"COL",2012,51,41,"h"
"COL",2016,7,135,"h"
"COL",2012,26,8,"h"
"COL",2015,34,77,"h"
"COL",2016,36,13,"h"
"COL",2014,25,4,"h"
"COL",2016,44,10,"h"
"COL",2026,7,529,"h"
"COL",2012,52,43,"h"
"COL",2014,14,290,"h"
"COL",2025,9,136,"h"
"COL",2026,5,106,"h"
"COL",2023,28,11,"h"
"COL",2017,5,70,"h"
"COL",2017,16,12,"h"
"COL",2020,40,21,"h"
"COL",2023,34,32,"h"
"COL",2024,4,713,"h"
"COL",2019,27,17,"h"
"COL",2014,49,23,"h"
"COL",2013,38,28,"h"
"COL",2023,31,54,"h"
"COL",2014,40,22,"h"
"COL",2014,48,9,"h"
"COL",2018,1,62,"h"
"COL",2018,25,5,"h"
"COL",2013,40,19,"h"
"COL",2021,46,81,"h"
"COL",2020,6,741,"h"
"COL",2017,29,27,"h"
"COL",2015,9,436,"h"
