Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2021,Total nacional,Total,Población ocupada,Ene - Mar,19787.210458666665
2021,Total nacional,Total,Población ocupada,Feb - Abr,20004.15751266667
2021,Total nacional,Total,Población ocupada,Mar - May,19946.438146333337
2021,Total nacional,Total,Población ocupada,Abr - Jun,19939.257222666667
2021,Total nacional,Total,Población ocupada,May - Jul,20159.417250333336
2021,Total nacional,Total,Población ocupada,Jun - Ago,20355.450913666664
2021,Total nacional,Total,Población ocupada,Jul - Sep,20558.206703666667
2021,Total nacional,Total,Población ocupada,Ago - Oct,20780.735785333334
2021,Total nacional,Total,Población ocupada,Sep - Nov,21010.881780666667
2021,Total nacional,Total,Población ocupada,Oct - Dic,21282.291796
2021,Total nacional,Total,Población ocupada,Nov - Ene,21152.724937666666
2021,Total nacional,Total,Población ocupada,Dic - Feb,21290.670992
2022,Total nacional,Total,Población ocupada,Ene - Mar,21352.177793
2022,Total nacional,Total,Población ocupada,Feb - Abr,21772.714409333334
2022,Total nacional,Total,Población ocupada,Mar - May,21940.662028000002
2022,Total nacional,Total,Población ocupada,Abr - Jun,22054.917514999997
2022,Total nacional,Total,Población ocupada,May - Jul,22087.473180999998
2022,Total nacional,Total,Población ocupada,Jun - Ago,22079.220003666665
2022,Total nacional,Total,Población ocupada,Jul - Sep,22201.465962333332
2022,Total nacional,Total,Población ocupada,Ago - Oct,22385.128792666666
2022,Total nacional,Total,Población ocupada,Sep - Nov,22493.886424333334
2022,Total nacional,Total,Población ocupada,Oct - Dic,22520.158621666666
2022,Total nacional,Total,Población ocupada,Nov - Ene,22148.664008666663
2022,Total nacional,Total,Población ocupada,Dic - Feb,22064.135597
2023,Total nacional,Total,Población ocupada,Ene - Mar,22172.651851333332
2023,Total nacional,Total,Población ocupada,Feb - Abr,22589.448848333337
2023,Total nacional,Total,Población ocupada,Mar - May,22701.036206666668
2023,Total nacional,Total,Población ocupada,Abr - Jun,22787.22184833333
2023,Total nacional,Total,Población ocupada,May - Jul,22933.833811333334
2023,Total nacional,Total,Población ocupada,Jun - Ago,23131.70821
2023,Total nacional,Total,Población ocupada,Jul - Sep,23149.819886666664
2023,Total nacional,Total,Población ocupada,Ago - Oct,23116.482338666665
2023,Total nacional,Total,Población ocupada,Sep - Nov,23124.637365333332
2023,Total nacional,Total,Población ocupada,Oct - Dic,23043.881428666664
2023,Total nacional,Total,Población ocupada,Nov - Ene,22691.48863133333
2023,Total nacional,Total,Población ocupada,Dic - Feb,22460.620363666665
2024,Total nacional,Total,Población ocupada,Ene - Mar,22387.53679433333
2024,Total nacional,Total,Población ocupada,Feb - Abr,22667.548709333332
2024,Total nacional,Total,Población ocupada,Mar - May,22846.60044966667
2024,Total nacional,Total,Población ocupada,Abr - Jun,22938.895007
2024,Total nacional,Total,Población ocupada,May - Jul,23051.676656666667
2024,Total nacional,Total,Población ocupada,Jun - Ago,23180.937313666665
2024,Total nacional,Total,Población ocupada,Jul - Sep,23278.056746000002
2024,Total nacional,Total,Población ocupada,Ago - Oct,23341.430961333335
2024,Total nacional,Total,Población ocupada,Sep - Nov,23403.893784333337
2024,Total nacional,Total,Población ocupada,Oct - Dic,23539.682919
2024,Total nacional,Total,Población ocupada,Nov - Ene,23376.259302
2024,Total nacional,Total,Población ocupada,Dic - Feb,23330.997814
2025,Total nacional,Total,Población ocupada,Ene - Mar,23358.235019
2025,Total nacional,Total,Población ocupada,Feb - Abr,23582.649624
2025,Total nacional,Total,Población ocupada,Mar - May,23635.101319
2025,Total nacional,Total,Población ocupada,Abr - Jun,23651.954433
2025,Total nacional,Total,Población ocupada,May - Jul,23782.943116
2025,Total nacional,Total,Población ocupada,Jun - Ago,23844.278902
2025,Total nacional,Total,Población ocupada,Jul - Sep,23902.24325
2025,Total nacional,Total,Población ocupada,Ago - Oct,24035.76622
2025,Total nacional,Total,Población ocupada,Sep - Nov,24298.367977
2025,Total nacional,Total,Población ocupada,Oct - Dic,24397.302737
2025,Total nacional,Total,Población ocupada,Nov - Ene,24016.432111
2025,Total nacional,Total,Población ocupada,Dic - Feb,23848.204876
2026,Total nacional,Total,Población ocupada,Ene - Mar,23890.987975
2026,Total nacional,Total,Población ocupada,Feb - Abr,24241.02269
2021,Total nacional,Total,Formal,Ene - Mar,7785.653908666667
2021,Total nacional,Total,Formal,Feb - Abr,7909.355157000001
2021,Total nacional,Total,Formal,Mar - May,8072.084484
2021,Total nacional,Total,Formal,Abr - Jun,8129.446118333333
2021,Total nacional,Total,Formal,May - Jul,8238.332096666667
2021,Total nacional,Total,Formal,Jun - Ago,8213.251104
2021,Total nacional,Total,Formal,Jul - Sep,8379.499542
2021,Total nacional,Total,Formal,Ago - Oct,8468.644289000002
2021,Total nacional,Total,Formal,Sep - Nov,8699.100822
2021,Total nacional,Total,Formal,Oct - Dic,8786.183250666667
2021,Total nacional,Total,Formal,Nov - Ene,8877.007702666668
2021,Total nacional,Total,Formal,Dic - Feb,8866.115357
2022,Total nacional,Total,Formal,Ene - Mar,8871.164574
2022,Total nacional,Total,Formal,Feb - Abr,8972.862147
2022,Total nacional,Total,Formal,Mar - May,9209.821490666667
2022,Total nacional,Total,Formal,Abr - Jun,9319.959230333334
2022,Total nacional,Total,Formal,May - Jul,9320.579292666667
2022,Total nacional,Total,Formal,Jun - Ago,9295.435332333333
2022,Total nacional,Total,Formal,Jul - Sep,9317.692012
2022,Total nacional,Total,Formal,Ago - Oct,9435.209284333332
2022,Total nacional,Total,Formal,Sep - Nov,9449.594036333334
2022,Total nacional,Total,Formal,Oct - Dic,9555.084776000002
2022,Total nacional,Total,Formal,Nov - Ene,9378.897764333333
2022,Total nacional,Total,Formal,Dic - Feb,9306.445961
2023,Total nacional,Total,Formal,Ene - Mar,9275.529452333334
2023,Total nacional,Total,Formal,Feb - Abr,9606.630535666665
2023,Total nacional,Total,Formal,Mar - May,9844.298999666666
2023,Total nacional,Total,Formal,Abr - Jun,10086.912075666667
2023,Total nacional,Total,Formal,May - Jul,10109.484209666667
2023,Total nacional,Total,Formal,Jun - Ago,10185.146267999999
2023,Total nacional,Total,Formal,Jul - Sep,10163.486025
2023,Total nacional,Total,Formal,Ago - Oct,10240.098126333332
2023,Total nacional,Total,Formal,Sep - Nov,10298.674289
2023,Total nacional,Total,Formal,Oct - Dic,10251.100362666666
2023,Total nacional,Total,Formal,Nov - Ene,10054.055346000001
2023,Total nacional,Total,Formal,Dic - Feb,9815.573713
2024,Total nacional,Total,Formal,Ene - Mar,9792.551913333335
2024,Total nacional,Total,Formal,Feb - Abr,9911.884756
2024,Total nacional,Total,Formal,Mar - May,10090.831013666668
2024,Total nacional,Total,Formal,Abr - Jun,10143.182266666667
2024,Total nacional,Total,Formal,May - Jul,10172.497691666666
2024,Total nacional,Total,Formal,Jun - Ago,10204.013674
2024,Total nacional,Total,Formal,Jul - Sep,10280.891537666668
2024,Total nacional,Total,Formal,Ago - Oct,10365.881872
2024,Total nacional,Total,Formal,Sep - Nov,10452.200478666668
2024,Total nacional,Total,Formal,Oct - Dic,10416.460848333334
2024,Total nacional,Total,Formal,Nov - Ene,10278.111016
2024,Total nacional,Total,Formal,Dic - Feb,10070.076338
2025,Total nacional,Total,Formal,Ene - Mar,10004.248083
2025,Total nacional,Total,Formal,Feb - Abr,10193.976907
2025,Total nacional,Total,Formal,Mar - May,10415.646119
2025,Total nacional,Total,Formal,Abr - Jun,10633.526133
2025,Total nacional,Total,Formal,May - Jul,10707.799927
2025,Total nacional,Total,Formal,Jun - Ago,10686.791196
2025,Total nacional,Total,Formal,Jul - Sep,10754.485423
2025,Total nacional,Total,Formal,Ago - Oct,10710.24066
2025,Total nacional,Total,Formal,Sep - Nov,10848.084908
2025,Total nacional,Total,Formal,Oct - Dic,10811.989069
2025,Total nacional,Total,Formal,Nov - Ene,10726.999686
2025,Total nacional,Total,Formal,Dic - Feb,10659.72814
2026,Total nacional,Total,Formal,Ene - Mar,10672.697775
2026,Total nacional,Total,Formal,Feb - Abr,10896.187587
2021,Total nacional,Total,Informal,Ene - Mar,12001.55655
2021,Total nacional,Total,Informal,Feb - Abr,12094.802355666665
2021,Total nacional,Total,Informal,Mar - May,11874.353662333333
2021,Total nacional,Total,Informal,Abr - Jun,11809.811104
2021,Total nacional,Total,Informal,May - Jul,11921.085153666665
2021,Total nacional,Total,Informal,Jun - Ago,12142.199809666665
2021,Total nacional,Total,Informal,Jul - Sep,12178.707161999999
2021,Total nacional,Total,Informal,Ago - Oct,12312.091496333334
2021,Total nacional,Total,Informal,Sep - Nov,12311.780958666668
2021,Total nacional,Total,Informal,Oct - Dic,12496.108545333334
2021,Total nacional,Total,Informal,Nov - Ene,12275.717234999998
2021,Total nacional,Total,Informal,Dic - Feb,12424.555634999999
2022,Total nacional,Total,Informal,Ene - Mar,12481.013219
2022,Total nacional,Total,Informal,Feb - Abr,12799.852262333334
2022,Total nacional,Total,Informal,Mar - May,12730.840537333332
2022,Total nacional,Total,Informal,Abr - Jun,12734.958284666667
2022,Total nacional,Total,Informal,May - Jul,12766.893888333332
2022,Total nacional,Total,Informal,Jun - Ago,12783.784671333333
2022,Total nacional,Total,Informal,Jul - Sep,12883.773950333334
2022,Total nacional,Total,Informal,Ago - Oct,12949.919508666666
2022,Total nacional,Total,Informal,Sep - Nov,13044.292388666669
2022,Total nacional,Total,Informal,Oct - Dic,12965.073846666666
2022,Total nacional,Total,Informal,Nov - Ene,12769.766245
2022,Total nacional,Total,Informal,Dic - Feb,12757.689636333334
2023,Total nacional,Total,Informal,Ene - Mar,12897.122399
2023,Total nacional,Total,Informal,Feb - Abr,12982.818312666664
2023,Total nacional,Total,Informal,Mar - May,12856.737207
2023,Total nacional,Total,Informal,Abr - Jun,12700.309772666666
2023,Total nacional,Total,Informal,May - Jul,12824.349602
2023,Total nacional,Total,Informal,Jun - Ago,12946.561942333332
2023,Total nacional,Total,Informal,Jul - Sep,12986.333862
2023,Total nacional,Total,Informal,Ago - Oct,12876.384211999999
2023,Total nacional,Total,Informal,Sep - Nov,12825.963076
2023,Total nacional,Total,Informal,Oct - Dic,12792.781065666668
2023,Total nacional,Total,Informal,Nov - Ene,12637.433285333333
2023,Total nacional,Total,Informal,Dic - Feb,12645.046650666665
2024,Total nacional,Total,Informal,Ene - Mar,12594.984881333336
2024,Total nacional,Total,Informal,Feb - Abr,12755.663953333331
2024,Total nacional,Total,Informal,Mar - May,12755.769436
2024,Total nacional,Total,Informal,Abr - Jun,12795.712739666667
2024,Total nacional,Total,Informal,May - Jul,12879.178965
2024,Total nacional,Total,Informal,Jun - Ago,12976.923639666667
2024,Total nacional,Total,Informal,Jul - Sep,12997.165208666667
2024,Total nacional,Total,Informal,Ago - Oct,12975.549089333334
2024,Total nacional,Total,Informal,Sep - Nov,12951.693305666668
2024,Total nacional,Total,Informal,Oct - Dic,13123.222070666665
2024,Total nacional,Total,Informal,Nov - Ene,13098.148286
2024,Total nacional,Total,Informal,Dic - Feb,13260.921476
2025,Total nacional,Total,Informal,Ene - Mar,13353.986936
2025,Total nacional,Total,Informal,Feb - Abr,13388.672717
2025,Total nacional,Total,Informal,Mar - May,13219.455199
2025,Total nacional,Total,Informal,Abr - Jun,13018.4283
2025,Total nacional,Total,Informal,May - Jul,13075.14319
2025,Total nacional,Total,Informal,Jun - Ago,13157.487706
2025,Total nacional,Total,Informal,Jul - Sep,13147.757827
