Ambito,Codigo,Tipo,Concepto,Partido,Votos,Porcentaje
NACIONAL,,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,12706523,48.7
NACIONAL,,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,12955911,49.66
NACIONAL,,Escrutinio,Votos en blanco,,426761,1.63
NACIONAL,,Escrutinio,Votos nulos,,220755,0.83
NACIONAL,,Escrutinio,No marcados,,29497,0.11
NACIONAL,,Escrutinio,Abstención,,15082526,36.41
AMAZONAS,91,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,17849,61.89
AMAZONAS,91,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,10584,36.7
AMAZONAS,91,Escrutinio,Votos en blanco,,403,1.39
AMAZONAS,91,Escrutinio,Votos nulos,,189,0.64
AMAZONAS,91,Escrutinio,No marcados,,78,0.26
AMAZONAS,91,Escrutinio,Abstención,,28171,49.18
ANTIOQUIA,05,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,1133681,33.41
ANTIOQUIA,05,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,2185834,64.42
ANTIOQUIA,05,Escrutinio,Votos en blanco,,73530,2.16
ANTIOQUIA,05,Escrutinio,Votos nulos,,30969,0.9
ANTIOQUIA,05,Escrutinio,No marcados,,5080,0.14
ANTIOQUIA,05,Escrutinio,Abstención,,2019146,37.06
ARAUCA,81,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,46420,41.36
ARAUCA,81,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,63523,56.6
ARAUCA,81,Escrutinio,Votos en blanco,,2280,2.03
ARAUCA,81,Escrutinio,Votos nulos,,1573,1.37
ARAUCA,81,Escrutinio,No marcados,,267,0.23
ARAUCA,81,Escrutinio,Abstención,,106742,48.34
ATLANTICO,08,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,732403,58.61
ATLANTICO,08,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,505091,40.42
ATLANTICO,08,Escrutinio,Votos en blanco,,12102,0.96
ATLANTICO,08,Escrutinio,Votos nulos,,4379,0.34
ATLANTICO,08,Escrutinio,No marcados,,1184,0.09
ATLANTICO,08,Escrutinio,Abstención,,874356,41.05
BOGOTA D.C.,11,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,2235514,52.47
BOGOTA D.C.,11,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1933243,45.37
BOGOTA D.C.,11,Escrutinio,Votos en blanco,,91516,2.14
BOGOTA D.C.,11,Escrutinio,Votos nulos,,31445,0.73
BOGOTA D.C.,11,Escrutinio,No marcados,,1523,0.03
BOGOTA D.C.,11,Escrutinio,Abstención,,1783358,29.34
BOLIVAR,13,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,591870,59.51
BOLIVAR,13,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,391458,39.36
BOLIVAR,13,Escrutinio,Votos en blanco,,11191,1.12
BOLIVAR,13,Escrutinio,Votos nulos,,3779,0.37
BOLIVAR,13,Escrutinio,No marcados,,1062,0.1
BOLIVAR,13,Escrutinio,Abstención,,791799,44.2
BOYACA,15,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,280199,38.21
BOYACA,15,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,441557,60.22
BOYACA,15,Escrutinio,Votos en blanco,,11456,1.56
BOYACA,15,Escrutinio,Votos nulos,,7079,0.95
