Ambito,Codigo,Tipo,Concepto,Partido,Votos,Porcentaje
ATLANTICO,08,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,432784,41.07
ATLANTICO,08,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,27808,2.63
ATLANTICO,08,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,20940,1.98
ATLANTICO,08,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,3296,0.31
ATLANTICO,08,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,2684,0.25
ATLANTICO,08,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,2064,0.19
ATLANTICO,08,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,625,0.05
ATLANTICO,08,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,606,0.05
ATLANTICO,08,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",508,0.04
ATLANTICO,08,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,308,0.02
ATLANTICO,08,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,305,0.02
ATLANTICO,08,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,230,0.02
ATLANTICO,08,Escrutinio,Votos en blanco,,12333,1.17
ATLANTICO,08,Escrutinio,Votos nulos,,4735,0.44
ATLANTICO,08,Escrutinio,No marcados,,1728,0.16
ATLANTICO,08,Escrutinio,Abstención,,1069368,50.21
BOGOTA D.C.,11,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,1706249,41.67
BOGOTA D.C.,11,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1543517,37.69
BOGOTA D.C.,11,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,372142,9.08
BOGOTA D.C.,11,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,258410,6.31
BOGOTA D.C.,11,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,102440,2.5
BOGOTA D.C.,11,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,22090,0.53
BOGOTA D.C.,11,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,6449,0.15
BOGOTA D.C.,11,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,4007,0.09
BOGOTA D.C.,11,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",2679,0.06
BOGOTA D.C.,11,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,2488,0.06
BOGOTA D.C.,11,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,1815,0.04
BOGOTA D.C.,11,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,1251,0.03
BOGOTA D.C.,11,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,827,0.02
BOGOTA D.C.,11,Escrutinio,Votos en blanco,,70144,1.71
BOGOTA D.C.,11,Escrutinio,Votos nulos,,33279,0.8
BOGOTA D.C.,11,Escrutinio,No marcados,,2297,0.05
BOGOTA D.C.,11,Escrutinio,Abstención,,1946515,32.03
BOLIVAR,13,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,443226,54.0
BOLIVAR,13,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,312574,38.08
BOLIVAR,13,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,23822,2.9
BOLIVAR,13,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,15690,1.91
BOLIVAR,13,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,4167,0.5
BOLIVAR,13,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,2631,0.32
BOLIVAR,13,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,2343,0.28
BOLIVAR,13,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,912,0.11
BOLIVAR,13,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",569,0.06
BOLIVAR,13,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,532,0.06
BOLIVAR,13,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,431,0.05
BOLIVAR,13,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,332,0.04
BOLIVAR,13,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,189,0.02
BOLIVAR,13,Escrutinio,Votos en blanco,,13281,1.61
BOLIVAR,13,Escrutinio,Votos nulos,,4542,0.54
BOLIVAR,13,Escrutinio,No marcados,,1779,0.21
BOLIVAR,13,Escrutinio,Abstención,,964139,53.82
BOYACA,15,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,337768,50.47
BOYACA,15,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,216425,32.34
BOYACA,15,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,57602,8.6
BOYACA,15,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,28853,4.31
BOYACA,15,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,8175,1.22
BOYACA,15,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,6083,0.9
BOYACA,15,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1161,0.17
BOYACA,15,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,937,0.14
BOYACA,15,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",670,0.1
BOYACA,15,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,436,0.06
BOYACA,15,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,311,0.04
BOYACA,15,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,250,0.03
