Ambito,Codigo,Tipo,Concepto,Partido,Votos,Porcentaje
CONSULADOS,100,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,171,0.02
CONSULADOS,100,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,171,0.02
CONSULADOS,100,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,85,0.01
CONSULADOS,100,Escrutinio,Votos en blanco,,4529,0.76
CONSULADOS,100,Escrutinio,Votos nulos,,1011,0.17
CONSULADOS,100,Escrutinio,No marcados,,245,0.04
CONSULADOS,100,Escrutinio,Abstención,,824832,58.3
CORDOBA,23,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,391880,55.55
CORDOBA,23,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,268604,38.07
CORDOBA,23,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,19401,2.75
CORDOBA,23,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,8325,1.18
CORDOBA,23,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,2925,0.41
CORDOBA,23,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,1596,0.22
CORDOBA,23,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1206,0.17
CORDOBA,23,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,527,0.07
CORDOBA,23,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",463,0.06
CORDOBA,23,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,333,0.04
CORDOBA,23,Candidato,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,240,0.03
CORDOBA,23,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,222,0.03
CORDOBA,23,Candidato,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,105,0.01
CORDOBA,23,Escrutinio,Votos en blanco,,9605,1.36
CORDOBA,23,Escrutinio,Votos nulos,,4168,0.58
CORDOBA,23,Escrutinio,No marcados,,1971,0.27
CORDOBA,23,Escrutinio,Abstención,,683402,48.99
CUNDINAMARCA,25,Candidato,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,724083,45.22
CUNDINAMARCA,25,Candidato,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,600032,37.47
CUNDINAMARCA,25,Candidato,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,123140,7.69
CUNDINAMARCA,25,Candidato,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,71750,4.48
CUNDINAMARCA,25,Candidato,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,26925,1.68
CUNDINAMARCA,25,Candidato,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,15499,0.96
CUNDINAMARCA,25,Candidato,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,2950,0.18
CUNDINAMARCA,25,Candidato,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,2392,0.14
CUNDINAMARCA,25,Candidato,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",1439,0.08
CUNDINAMARCA,25,Candidato,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,969,0.06
CUNDINAMARCA,25,Candidato,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,910,0.05
