year,grupo_edad,total,hombres,mujeres,indeterminado
2018,De 20-24 Años,186468,95823,90628,0
2018,De 25-29 Años,156505,80011,76477,0
2018,De 30-34 Años,104773,53486,51274,0
2018,De 35-39 Años,56877,29166,27706,0
2018,De 40-44 Años,13983,7192,6790,0
2018,De 45-49 Años,1029,518,511,0
2018,De 50-54 Años,145,78,67,0
2018,Sin información,670,354,316,0
2019,De 10-14 Años,4795,2471,2323,1
2019,De 15-19 Años,118163,60746,57405,12
2019,De 20-24 Años,184908,95400,89497,11
2019,De 25-29 Años,156451,80244,76194,13
2019,De 30-34 Años,105039,53768,51260,11
2019,De 35-39 Años,56421,28834,27582,5
2019,De 40-44 Años,13997,7086,6908,3
2019,De 45-49 Años,962,456,505,1
2019,De 50-54 Años,125,72,53,0
2019,Sin información,1799,921,878,0
2020,De 10-14 Años,4301,2203,2098,0
2020,De 15-19 Años,110672,57131,53530,11
2020,De 20-24 Años,182230,93107,89106,17
2020,De 25-29 Años,156030,80364,75654,12
2020,De 30-34 Años,103154,52630,50516,8
2020,De 35-39 Años,55190,28348,26834,8
2020,De 40-44 Años,14391,7344,7045,2
2020,De 45-49 Años,1032,529,503,0
2020,De 50-54 Años,130,76,54,0
2020,Sin información,2272,1136,1136,0
2021,De 10-14 Años,4895,2494,2400,1
2021,De 15-19 Años,107741,55421,52314,6
2021,De 20-24 Años,175376,90199,85162,15
2021,De 25-29 Años,154019,78892,75113,14
2021,De 30-34 Años,103612,52758,50848,6
2021,De 35-39 Años,54963,27905,27049,9
2021,De 40-44 Años,14798,7536,7260,2
2021,De 45-49 Años,1029,524,505,0
2021,De 50-54 Años,171,84,87,0
2021,Sin información,310,157,153,0
2022,De 10-14 Años,4226,2149,2077,0
2022,De 15-19 Años,93977,48331,45634,12
2022,De 20-24 Años,157022,80544,76466,12
2022,De 25-29 Años,146322,74486,71826,10
2022,De 30-34 Años,102594,52185,50403,6
2022,De 35-39 Años,53560,27324,26234,2
2022,De 40-44 Años,14689,7472,7214,3
2022,De 45-49 Años,967,462,505,0
2022,De 50-54 Años,107,51,56,0
2022,Sin información,161,88,73,0
2023,De 10-14 Años,3837,2033,1804,0
2023,De 15-19 Años,78617,40663,37947,7
2023,De 20-24 Años,138341,71183,67150,8
2023,De 25-29 Años,132592,67822,64762,8
2023,De 30-34 Años,96828,49705,47119,4
2023,De 35-39 Años,50246,25515,24723,8
2023,De 40-44 Años,13723,6956,6766,1
2023,De 45-49 Años,955,486,468,1
2023,De 50-54 Años,47,26,21,0
2023,Sin información,363,191,172,0
2024,De 10-14 Años,3200,1590,1610,0
2024,De 15-19 Años,64792,33312,31474,6
2024,De 20-24 Años,120556,62007,58545,4
2024,De 25-29 Años,118464,60694,57765,5
2024,De 30-34 Años,87761,44983,42776,2
2024,De 35-39 Años,45044,23216,21826,2
2024,De 40-44 Años,12416,6160,6253,3
2024,De 45-49 Años,917,455,462,0
2024,De 50-54 Años,82,38,44,0
2024,Sin información,669,329,340,0
2025,De 10-14 Años,2929,1467,1462,0
2025,De 15-19 Años,57973,29849,28121,3
2025,De 20-24 Años,112575,57530,55039,6
2025,De 25-29 Años,116170,59356,56809,5
2025,De 30-34 Años,87054,44659,42395,0
2025,De 35-39 Años,44507,23055,21449,3
2025,De 40-44 Años,11739,5985,5753,1
2025,De 45-49 Años,691,371,320,0
2025,De 50-54 Años,40,18,22,0
2025,Sin información,0,0,0,0
