Fecha,Deuda interna,Deuda externa,Deuda total
2005-02-28,73547879.6520862,52522543.20744402,126070422.85953021
2005-03-31,75209161.51076382,53256922.54934676,128466084.06011058
2005-04-30,78715542.27837735,49439938.87073911,128155481.14911646
2005-05-31,78699681.09419948,49250193.67755697,127949874.77175644
2005-06-30,80210987.16204594,47631539.79827977,127842526.96032572
2005-07-31,81662761.04490903,48355990.950005665,130018751.9949147
2005-08-31,82361674.3494272,48949286.399523795,131310960.74895099
2005-09-30,82265112.36075722,46922700.93561421,129187813.29637143
2005-10-31,85102305.69627494,46261504.71449495,131363810.41076988
2005-11-30,86420571.96122612,45845348.87062643,132265920.83185256
2005-12-31,88455668.27735206,47625679.841941655,136081348.11929372
2006-01-31,89922352.4012095,47204990.381269716,137127342.78247923
2006-02-28,92527429.22310504,46849595.46605704,139377024.68916208
2006-03-31,94792069.15107164,46006732.73059341,140798801.88166505
2006-04-30,92337196.74184866,47728982.72187294,140066179.4637216
2006-05-31,92790376.45339687,49817594.352273434,142607970.80567032
2006-06-30,95349235.58200125,51505701.145503394,146854936.72750464
2006-07-31,92907582.60567547,50046206.271806985,142953788.87748247
2006-08-31,94892849.41719793,50562853.25741044,145455702.67460835
2006-09-30,92603065.40086107,52473750.55037525,145076815.9512363
2006-10-31,93352074.44150767,51382563.46917989,144734637.91068757
2006-11-30,93849113.90173288,52542515.560941406,146391629.4626743
2006-12-31,94398595.8220577,52613000.83361587,147011596.65567356
2007-01-31,95889138.42152557,52802085.78534028,148691224.20686585
2007-02-28,97689127.11876196,51142739.55721218,148831866.67597413
2007-03-31,94334998.74259284,49512699.85540411,143847698.59799695
2007-04-30,96525054.17701837,48683409.85260409,145208464.02962247
2007-05-01,99055793.67933856,44881365.785009935,143937159.4643485
2007-06-01,100814612.80950108,46103605.05609204,146918217.86559314
2007-07-01,101306620.5029153,45910505.405801535,147217125.90871683
2007-08-31,102607795.20206712,49881389.751463614,152489184.95353073
2007-09-30,101882009.25166158,47164331.7017799,149046340.9534415
2007-10-31,102202988.6865117,46515923.23856342,148718911.9250751
2007-11-30,98259274.35905041,47850179.7008456,146109454.059896
2007-12-31,99061897.6761751,47652802.3206533,146714699.9968284
2008-01-31,101159260.4701264,46651303.74359286,147810564.21371925
2008-02-29,102825734.606897,44314054.881832264,147139789.48872927
2008-03-31,105246925.25979212,44062277.01599908,149309202.2757912
2008-04-30,103856013.94427022,43172097.83177837,147028111.7760486
2008-05-31,105744670.31282616,42463357.22010075,148208027.53292692
2008-06-30,106183108.47583938,43819346.217516854,150002454.69335622
2008-07-31,108529115.90136132,43638631.636088416,152167747.53744972
2008-08-31,105503068.9476969,46264849.1504983,151767918.0981952
2008-09-30,106592233.08056672,51168866.09516961,157761099.17573634
2008-10-31,106973101.04841954,56110588.76386652,163083689.81228605
2008-11-30,108007111.78795101,55222283.02305726,163229394.81100827
2008-12-31,108713710.01804797,54593058.84308423,163306768.8611322
2009-01-31,111305817.61515965,60497140.86927099,171802958.48443064
2009-02-28,113372391.7224758,63350774.89553037,176723166.61800617
2009-03-31,115974564.05949976,64875502.39695675,180850066.4564565
2009-04-30,118369561.34156573,59730940.656664416,178100501.99823016
2009-05-31,116922434.1763466,56210661.949987784,173133096.12633437
2009-06-30,118383672.05927682,56582159.78578847,174965831.8450653
2009-07-31,115012801.18031743,54145573.38865385,169158374.56897128
2009-08-31,118150262.93048888,54433450.44174949,172583713.37223837
2009-09-30,118265101.54625696,51882562.554750405,170147664.10100737
2009-10-31,120751981.7482891,56235126.12390361,176987107.8721927
2009-11-30,125090866.3143288,57694659.56747219,182785525.881801
2009-12-31,125639747.22691907,59694422.11222211,185334169.3391412
2010-01-31,127729021.42496493,58026437.56298794,185755458.9879529
2010-02-28,128602245.84749272,55559913.46856863,184162159.31606135
2010-03-31,129199888.264623,55542310.58984866,184742198.85447165
2010-04-30,129492637.44384986,59095461.73526567,188588099.17911553
2010-05-31,129408467.99951814,58694373.82670566,188102841.8262238
2010-06-30,131337880.40129557,57356296.929828525,188694177.3311241
2010-07-31,133551850.98283531,55065090.2675414,188616941.2503767
2010-08-31,136364647.58715189,55597644.84294647,191962292.43009835
2010-09-30,134280437.1406386,55240381.86998217,189520819.01062077
2010-10-31,136440575.151929,56811157.51996626,193251732.671895
2010-11-30,137408431.98658863,58523143.0408425,195931575.02743113
2010-12-31,143534231.0976536,59306054.90488493,202840286.00253853
2011-01-31,138256172.77755,57866641.58726118,196122814.364811
2011-02-28,140291720.31538704,58814395.33159743,199106115.64698446
2011-03-31,141918757.21490705,58372274.55521145,200291031.770119
2011-04-30,145262271.19051355,55506746.60113196,200769017.79164553
2011-05-31,140207402.15552816,55810203.25900808,196017605.41453624
2011-06-30,140723785.5738573,54770037.483688205,195493823.0575455
2011-07-31,142649913.94095564,58062873.74589602,200712787.68685165
2011-08-31,145502171.72358668,58420183.51911815,203922355.24270484
2011-09-30,145933902.1315977,62443836.97908854,208377739.11068624
2011-10-31,147285977.359404,60767253.275181584,208053230.6345856
2011-11-30,148031373.32259506,63893220.653718755,211924593.97631383
2011-12-01,150713296.31648323,63980291.7409315,214693588.05741474
2012-01-01,149309476.9588552,61312289.13532971,210621766.09418496
2012-02-01,152133600.35957208,58904732.47000323,211038332.8295753
2012-03-01,152389175.21561873,59284387.37686582,211673562.59248453
2012-04-01,151928372.71537203,58696879.440780565,210625252.1561526
2012-05-01,151917942.3410223,60219982.160049155,212137924.50107145
2012-06-01,152228870.78817984,59567472.48082165,211796343.26900148
2012-07-01,154044907.6774804,58944256.90296797,212989164.58044836
2012-08-01,151933235.5867709,60050770.71226586,211984006.29903674
2012-09-30,152577367.99065548,60125045.11365175,212702413.10430723
2012-10-31,152143040.7909686,61002777.01929675,213145817.81026536
2012-11-30,154961324.57608467,60275410.63804849,215236735.21413317
2012-12-31,156770236.883989,59519174.6092422,216289411.4932312
2013-01-01,157088832.227511,60385932.6309927,217474764.858504
2013-02-01,160617065.76026973,61469337.068306446,222086402.82857618
2013-03-31,162795308.24115944,61714008.7578074,224509316.99896684
2013-04-30,161426030.29863778,61697809.01530278,223123839.31394055
2013-05-31,161038520.98083526,63062721.75993245,224101242.74076772
2013-06-30,161506406.54608756,63775756.05184496,225282162.59793252
2013-07-31,165366330.5591044,62830021.31439045,228196351.87349486
2013-08-31,169055200.0091067,64693839.54943643,233749039.55854312
2013-09-30,173323596.39068246,67951859.9899,241275456.38058245
2013-10-31,176578184.8485708,67028443.22295755,243606628.07152835
2013-11-30,174537472.3792288,67924833.73676817,242462306.11599696
2013-12-31,180640182.34028035,68719143.63146912,249359325.97174948
2014-01-31,177564823.06683302,75180629.91827233,252745452.98510534
2014-02-28,180835085.0528527,76678591.53212501,257513676.5849777
2014-03-31,186652561.58059865,73623532.8768753,260276094.45747393
2014-04-30,190792944.83960074,72620679.10822946,263413623.9478302
2014-05-31,184291347.86996517,70899952.87210886,255191300.742074
2014-06-30,190085916.22967842,70064204.64770155,260150120.87737995
2014-07-31,190986328.3601153,69533921.73576337,260520250.09587866
2014-08-31,194468674.84359205,71558525.80954471,266027200.65313676
2014-09-30,196047624.5069613,74241185.7306158,270288810.2375771
2014-10-31,202000099.63423562,77552283.3702313,279552383.0044669
2014-11-30,198444147.0683933,80649797.76488477,279093944.83327806
2014-12-31,200098697.55529416,89767232.00308637,289865929.55838054
2015-01-31,197892476.50707862,93317433.43710235,291209909.94418097
2015-02-28,200231357.35978913,96808713.17632693,297040070.53611606
2015-03-31,202187868.8219466,102449041.76554218,304636910.5874888
2015-04-30,203349923.29020673,95629504.69837911,298979427.9885858
2015-05-31,211794182.91943687,100897657.0419164,312691839.9613533
2015-06-30,208318158.9819058,101862301.54981145,310180460.53171724
2015-07-31,206627454.6970925,111895599.6453022,318523054.3423947
2015-08-31,209186491.68683568,119322756.76222073,328509248.4490564
2015-09-30,218546792.54736164,125390173.47975096,343936966.0271126
2015-10-31,208000714.17086363,117680036.32568659,325680750.4965502
2015-11-30,207015568.29514915,123239655.14920554,330255223.44435465
2015-12-31,211609269.7642528,129590463.61165862,341199733.3759114
2016-01-31,212684390.72811937,136367052.99618524,349051443.7243046
2016-02-01,218573911.62225527,136020607.40089744,354594519.0231527
2016-03-01,222656794.23718953,129404223.27700727,352061017.5141968
2016-04-01,227291506.87014025,123851217.3801255,351142724.2502657
2016-05-01,233216996.56316924,132583650.95916942,365800647.5223386
2016-06-01,232918011.10422453,126126625.34540461,359044636.4496291
2016-07-01,233278203.870309,133388137.45034657,366666341.3206556
2016-08-01,236432083.2832425,126580652.166949,363012735.45019114
2016-09-01,239269688.37336314,124198517.77009965,363468206.1434628
2016-10-31,241991639.48386723,127416890.57074043,369408530.0546076
2016-11-30,244867318.63535088,136876163.22487298,381743481.8602239
2016-12-31,243015611.7550623,134069787.40932594,377085399.16438824
2017-01-31,243694978.92067796,134875791.70467806,378570770.625356
2017-02-28,248369274.38176462,132635099.38497403,381004373.76673865
2017-03-31,253471755.6831139,131754601.88097288,385226357.5640868
2017-04-30,255714577.1110182,134693162.99358007,390407740.1045983
2017-05-31,252718358.56229156,133981867.46012698,386700226.02241856
2017-06-30,250568580.48822618,139056306.68307236,389624887.1712985
2017-07-31,255680551.0927217,137569253.96246386,393249805.05518556
2017-08-31,260374930.47211647,140364356.41136405,400739286.88348055
2017-09-30,261562213.32989857,140194808.71799496,401757022.0478935
2017-10-31,263093997.763489,143149490.5370953,406243488.300584
2017-11-30,264923006.85490698,142913657.06477386,407836663.91968083
2017-12-31,269333787.82399297,142552124.44486585,411885912.2688588
2018-01-31,273577976.18843114,137883895.08766097,411461871.2760921
2018-02-28,279079549.26033974,138254707.90655193,417334257.1668917
2018-03-31,280562903.11011064,136559326.66186175,417122229.7719724
2018-04-30,287751137.82814205,138016098.67575094,425767236.503893
2018-05-31,293744808.9562571,140613575.40115675,434358384.3574139
2018-06-30,296260403.3333132,143439062.63392922,439699465.9672425
2018-07-31,301661661.01779324,140107593.37015706,441769254.3879503
2018-08-31,307983597.12410873,146875765.03612724,454859362.160236
2018-09-30,311304097.0208007,145816613.20145193,457120710.2222526
2018-10-31,310450473.15965354,159009370.3880138,469459843.5476674
2018-11-30,308263067.7422031,161178582.5646397,469441650.3068428
2018-12-31,309935579.36553746,164090347.19709632,474025926.5626334
2019-01-31,314376105.3982949,166260785.35409623,480636890.75239116
2019-02-28,320423404.14469355,161145767.2076804,481569171.35237384
2019-03-31,324068396.0738275,163417445.05729488,487485841.13112235
2019-04-30,323933778.32122874,165921112.4599564,489854890.78118515
2019-05-31,324423344.8039672,170961465.59626636,495384810.4002335
2019-06-30,332678152.961587,163262612.25119537,495940765.2127829
2019-07-31,340239053.44168985,167530632.2039396,507769685.6456294
2019-08-31,342936887.3950652,175067999.25969523,518004886.6547604
2019-09-30,334736518.8480725,176054321.4944345,510790840.3425071
2019-10-31,336864304.71226597,172592048.5044351,509456353.21670103
2019-11-30,340030035.4927385,178538620.54997858,518568656.0427171
2019-12-31,331298877.00313085,169507573.76647875,500806450.7696096
2020-01-31,347651417.0622951,182181203.3265739,529832620.388869
2020-02-29,351954238.27672714,183968380.6477994,535922618.9245266
2020-03-31,352285242.52351195,215454737.74830422,567739980.2718161
2020-04-30,350469690.4249777,217474511.48852992,567944201.9135077
2020-05-31,367452406.2992809,208492467.44221625,575944873.7414972
2020-06-30,365373950.1539373,219728818.91332716,585102769.0672644
2020-07-31,370931558.44213754,225351143.6761486,596282702.1182861
2020-08-31,376384401.65238076,228617387.38408232,605001789.036463
2020-09-30,381096820.5814511,234887113.19756538,615983933.7790165
2020-10-31,386180461.8332702,233180526.37496686,619360988.208237
2020-11-30,392091792.5616365,218991935.67227784,611083728.2339144
2020-12-31,389845971.68554145,229745919.54330418,619591891.2288456
2021-01-31,388592268.10109806,243591292.94700378,632183561.0481019
2021-02-28,395169322.7870241,245304678.19802618,640474000.9850502
2021-03-31,395354161.14001,250140159.59358084,645494320.7335908
2021-04-30,403017911.96624804,258482085.82434815,661499997.7905962
2021-05-31,410119718.4547305,258375728.10373014,668495446.5584607
2021-06-30,413470961.50356305,262777531.42584035,676248492.9294034
2021-07-31,422013042.97502315,268563420.63419247,690576463.6092156
2021-08-31,415886465.238721,265529619.1486201,681416084.3873407
2021-09-30,427554297.348033,267862234.3179303,695416531.6659629
2021-10-31,426842206.870814,268726974.8219011,695569181.6927155
2021-11-30,433553899.9596113,287923158.820221,721477058.7798319
2021-12-31,431911976.938601,292406808.27735585,724318785.2159564
2022-01-31,440175508.74623466,291162922.5192722,731338431.2655069
2022-02-28,448526863.43583083,286686755.37254226,735213618.8083731
2022-03-31,453346850.54077697,274339150.04320383,727686000.5839808
2022-04-30,459674204.2904227,287640476.3795314,747314680.6699541
2022-05-31,466798478.74760485,286605667.3583096,753404146.1059145
2022-06-30,461856533.521325,302011059.22085047,763867592.7421755
2022-07-31,474058189.9067633,315095026.24864733,789153216.1554106
2022-08-31,481587686.7046208,323383804.6962167,804971491.4008374
2022-09-30,488647776.6777197,332477514.83813965,821125291.5158594
2022-10-31,495855480.2419236,353038059.90845466,848893540.1503782
2022-11-30,497659565.62253475,355095948.26274663,852755513.8852813
2022-12-31,507274402.1426648,365470273.5226555,872744675.6653203
2023-01-31,513946359.97277296,353018742.60555553,866965102.5783285
2023-02-28,509550491.8739261,373852531.2773602,883403023.1512864
2023-03-31,521861539.4965504,356328664.45581,878190203.9523604
2023-04-30,531976745.4069192,359125228.8865958,891101974.293515
2023-05-31,538927392.1454086,337385404.8965476,876312797.0419562
2023-06-30,541204033.1654171,321268837.82510805,862472870.9905251
2023-07-31,546003327.0165628,301673923.9228993,847677250.9394622
2023-08-31,552383203.6344299,312827193.05105203,865210396.685482
2023-09-30,549730139.9550929,312338043.02851456,862068182.9836075
2023-10-31,562865139.2645285,309430485.88152635,872295625.1460549
2023-11-30,566145930.1444118,315853047.8968239,881998978.0412357
2023-12-31,558650607.4174964,306707695.7184749,865358303.1359713
2024-01-31,563415269.835742,314575667.3940147,877971326.7847569
2024-02-28,577611443.3328618,314755135.656423,892366578.9892848
2024-03-31,580752455.6986367,306729066.395014,887481522.0936506
2024-04-30,594626557.4127029,313571353.82684374,908197911.2395467
2024-05-31,603935972.8037397,309472104.12425333,913408076.927993
2024-06-30,617766092.9796019,330250843.96358514,948016936.943187
2024-07-31,618422117.4945666,328918001.80090624,947340119.2954729
2024-08-31,627611433.9668642,332431916.9726798,960043350.939544
2024-09-30,636900884.7472013,332953444.9766544,969854329.7238557
2024-10-31,640730085.6096613,351153005.7893477,991883091.399009
2024-11-30,649870608.2772051,363087345.522027,1012957953.7992321
2024-12-31,661813894.7999005,360208169.1794943,1022022063.9793949
2025-01-31,690671735.9896638,340860555.27356493,1031532291.2632288
2025-02-28,701814462.0524888,333545662.3359868,1035360124.3884757
2025-03-31,713662735.284462,340343823.6299773,1054006558.9144392
2025-04-30,730905082.7121127,356579468.15858346,1087484550.870696
2025-05-31,741790933.9206918,348950001.98603266,1090740935.9067245
2025-06-30,749205521.92693,343288654.8098088,1092494176.736739
2025-07-31,770906145.8028644,351407933.1708912,1122314078.9737556
2025-08-31,782194425.7885315,323414014.55528355,1105608440.343815
2025-09-30,808195320.5026671,367050868.499747,1175246189.002414
2025-10-31,812537498.9268801,368097752.3565671,1180635251.2834473
2025-11-30,826598257.71859,349663510.4004877,1176261768.1190777
2025-12-31,838545372.0364608,354086938.8121535,1192632310.8486142
2026-01-31,840973558.0243595,364801453.30048764,1205775011.3248472
2026-02-28,865455158.376801,372825107.1681825,1238280265.5449834
2026-03-31,865890404.2436677,349578259.7878469,1215468664.0315146
2026-04-30,867253222.3787947,314196135.3079318,1181449357.6867266
2026-05-31,881667750.5366069,288188272.17666,1169856022.7132668
2026-06-30,899796221.4894799,267425924.109425,1167222145.5989048
