Fecha,Deuda interna,Deuda externa,Deuda total
2001-06-30,35573151.0131951,37503877.553999975,73077028.56719506
2001-07-31,35978082.92004137,37925408.0244,73903490.94444138
2001-08-31,37271252.0,39355635.46,76626887.46000001
2001-09-30,37913586.902099565,40240996.38797003,78154583.2900696
2001-10-31,39197352.37261716,39716115.5777796,78913467.95039676
2001-11-30,40466912.22210556,40313473.48916118,80780385.71126674
2001-12-31,44235677.4896043,41742137.31755684,85977814.80716115
2002-01-31,44743163.0,40909443.660000004,85652606.66
2002-02-28,47124952.109454185,41662513.74680843,88787465.8562626
2002-03-31,47080813.14261921,40377232.27079177,87458045.41341098
2002-04-30,47515437.09266752,40796325.503294006,88311762.59596153
2002-05-31,50152046.05737697,40677530.02536913,90829576.0827461
2002-06-30,50930450.52326085,41784906.414400764,92715356.93766162
2002-07-31,51029746.40888018,46622671.3767389,97652417.78561908
2002-08-31,51184494.82091133,48187963.4420756,99372458.26298693
2002-09-30,51113367.318832666,50483958.86658825,101597326.18542092
2002-10-31,51234718.33955762,49008610.16886842,100243328.50842604
2002-11-30,51558451.51746411,48962459.79620422,100520911.31366833
2002-12-31,53401028.38812688,51577033.98370943,104978062.3718363
2003-01-31,54107940.386258736,55338476.14448221,109446416.53074095
2003-02-28,53287760.09806241,55657339.257710725,108945099.35577314
2003-03-31,55633774.36382957,55642669.3738081,111276443.73763767
2003-04-30,56448742.525843754,57244026.1410822,113692768.66692595
2003-05-31,57306846.36409961,56677472.8110953,113984319.1751949
2003-06-30,57399640.55445583,53664965.30734993,111064605.86180577
2003-07-31,58053385.13943073,54782295.577930704,112835680.71736144
2003-08-31,58165183.10031144,54703139.131215364,112868322.2315268
2003-09-30,58787045.59199527,57148920.61495218,115935966.20694745
2003-10-31,59031765.25977955,57473243.96748681,116505009.22726637
2003-11-30,60130121.537857756,57484833.45007912,117614954.98793688
2003-12-31,60949781.787039384,56810879.610834986,117760661.39787437
2004-01-31,61673052.30248779,57172994.551158346,118846046.85364613
2004-02-29,63061928.86871011,55781080.2045824,118843009.07329251
2004-03-31,65169269.776981525,55059715.9003093,120228985.67729083
2004-04-30,65390744.9225568,54369582.96885563,119760327.89141244
2004-05-31,64772864.6771308,56112731.73680876,120885596.41393957
2004-06-30,64037763.938743904,56158872.611949,120196636.5506929
2004-07-31,65714665.17997419,54155372.566998266,119870037.74697246
2004-08-31,66967231.066724546,53033058.57290175,120000289.6396263
2004-09-30,67591890.6765431,55143120.84601126,122735011.52255437
2004-10-31,68362149.20270221,55195478.31658957,123557627.51929179
2004-11-30,67885101.64467543,54676330.974976055,122561432.6196515
2004-12-31,68632099.42820217,53355003.402211376,121987102.83041355
2005-01-31,71664442.45804119,52655034.96412553,124319477.42216672
