año,productividad laboral por persona empleada (%),productividad total de los factores (pp),contribución de las horas trabajadas por empleado (pp),composición laboral (pp),contribución del capital por persona empleada (pp)
2005,1.825313726877251,-0.3199826425566472,0.9374082740845353,0.4557750877102347,0.7521130076391287
2006,7.400444046161047,4.230771160217258,0.3805977500420631,2.496170119794903,0.2929050161068226
2007,1.278050012223839,-2.682177779735652,2.345060264730292,0.881360873925312,0.7338066533038862
2008,-0.937852144987574,-1.654100906303738,-0.4439152748423267,0.5078377353544907,0.652326300804
2009,-2.734028841741808,-1.051832606328781,-1.533730491077251,1.016636763314447,-1.165102507650223
2010,-1.318114680350446,-1.702761796260407,-0.05239536494160514,-0.3982206116576715,0.8352630925092378
2011,1.043321422679993,0.4646006442882184,-0.1163861452290844,0.309470844844799,0.3856360787760604
2012,1.266725145305337,-0.4509222200317248,-0.5281224540113493,2.452425386787648,-0.2066555674392379
2013,3.626587113793408,0.4601696267203639,-0.7021489450428818,2.648682377059054,1.219884055056872
2014,1.567957745608096,-1.41434685136183,0.4472663077983614,1.833529668428776,0.7015086207427883
2015,1.179234560714217,0.7722781876051343,-0.2658664045151989,1.245325474815226,-0.5725026971909435
2016,-1.593671694499558,-1.160088268044888,-1.151550382896,0.4612748606302237,0.2566920958111061
2017,2.444262972606057,0.1938101462894286,0.7260586539688414,1.673766382087627,-0.1493722097398398
2018,1.858336213735477,0.2351137663286853,0.4366298610720806,0.646528364648507,0.5400642216862038
2019,2.368910516691291,0.2294517232210479,0.4266214162484117,1.272982068622482,0.4398553085993493
2020,-1.889120725385075,-1.502914313025233,-4.416685039405774,1.818461818278711,2.212016808767221
2021,5.685254195914971,1.29773141732825,5.339862581424699,-1.558279100288715,0.6059392974507375
2022,-2.202809324980481,0.1553017929137789,-1.033464531385321,-1.499464162739103,0.174817576230164
2023,-2.486090471474177,-0.9234207713273888,-0.9802020739306748,-0.8160949897782729,0.2336273635621591
2024,0.5525020298923224,1.205998140364669,-0.9778898067806385,0.3312239801164207,-0.006830283808128682
2025,-0.5591237265022215,0.7536694081114617,-0.662659876424568,-0.478363847198256,-0.1717694109908592
