Año,ACTIVIDAD INTERNA,Renta y complementarios /1,Renta cuotas/2,Retención en la fuente a título de renta /3,IVA /4,Declaraciones IVA,Retención en la fuente a título de IVA,Timbre nacional,G.M.F.,Patrimonio /5,Riqueza /6,Impuesto al consumo /7,Impuesto gasolina y ACPM,Impuesto al carbono /8,CREE,Declaraciones CREE /9,Retención CREE,Impuesto unificado RST (Simple) /10,Impuesto de normalización tributaria /11,Consumo bienes inmuebles /12,Productos plásticos de un solo uso /13,Impuestos saludables - Bebidas azucaradas /14,Impuestos saludables - Comestibles ultraprocesados /15,Impuesto especial para el Catatumbo/18,ACTIVIDAD EXTERNA,IVA,Arancel /16,III. POR CLASIFICAR /17,IV. TOTAL DIAN
2016,107164022.152842,43523592.5116142,10882845.795218999,32640746.716395203,30686531.43151226,25723556.010606997,4962975.42090526,105820.78851653788,7067990.608,0,5065926.690617,1843916.2342850002,3747949.864175,0,15122294.024122,7553508.2909470005,7568785.733175,0,0,0,0,0,0,0,19576000.548381,14992158.99311582,4583841.555265182,14011.105947,126754033.80717
2017,114917769.285552,56671855.89465527,15077560.117085,41594295.77757027,37516524.27807891,31900265.514881004,5616258.763197907,79667.7727778232,7307440.768999999,0,3975715.7342260005,2107550.053057,1619472.343,476861.94678199996,5162680.493975,4058302.663274,1104377.830701,0,0,0,0,0,0,0,21414465.999048,17151552.020890817,4262913.978157181,116936.137814,136449171.42241398
2018,121208744.04519801,67910376.01189591,17632780.831775002,50277595.18012091,40863559.666357554,34484696.66480199,6378863.001555562,79889.11202053743,7703514.346,0,469143.79674300004,2214708.8202429996,1517545.7700000003,294071.93499999994,155934.586938,139455.289479,16479.297458999998,0,0,0,0,0,0,0,23095635.610935003,19081076.838284947,4014558.7726500537,75199.760435,144379579.41656798
2019,131169148.431302,71153982.54640311,18276283.744257003,52877698.8021461,44351763.55447161,37068617.545251,7283146.009220617,85801.05593028836,8689718.798999999,859265.515479,72560.595787,2419667.9291909994,1623253.5402789998,451045.90099999995,111959.376611,102384.673624,9574.702986999999,73893.15500000001,1138914.222,137322.24015,0,0,0,0,26310444.483935006,22032710.166006733,4277734.317928271,141126.029783,157620718.94502002
2020,122354609.776967,69346963.84071016,18037327.372918002,51309636.4677922,39667035.07361374,32734658.759572994,6932376.314040748,41576.762819092844,8216315.593,952146.103476,27506.953319000004,1477518.4479510004,1322732.139769,294901.764142,55338.302167,46525.588676,8812.713491,321519.96900000004,626017.9130000001,5036.914000000001,0,0,0,0,23731765.436726,20319385.168963335,3412380.2677626642,179780.318017,146266155.53171
2021,139615800.20135397,77581293.25498533,16832856.063893,60748437.19109233,46605768.87825497,38422260.848198995,8183508.030055971,84432.30433070227,9856524.38,1002537.6733899999,33004.24574,1530683.843726,1799854.952618,334309.261,38755.752324,32767.304376000004,5988.447948,599102.087,145302.938189,4230.629796,0,0,0,0,33833976.621696,29044524.0506509,4789452.571045105,216185.38251900004,173665962.205569
2022,179520437.025409,103189811.47662897,24194067.266009998,78995744.21061897,56439519.18236184,45349922.185373,11089596.996988842,134468.36566819315,12676743.777,62698.72486,10612.756803,2897785.451904,2186240.474985,423903.886,56913.20488,53566.108256,3347.096624,1191782.589,233435.386744,16521.748574,0,0,0,0,48692600.648146,41635012.91991914,7057587.728226869,167181.329254,228380219.00280902
2023,237178934.511457,147163768.46102032,50734447.25467299,96429321.20634733,66265500.7872115,53831574.61411001,12433926.173101492,215679.18028216396,14009341.210412,1211119.917535,10316.245012,3370207.913741,2384057.234,575273.6680000001,109622.28162699999,105946.007313,3676.2743140000002,1833598.6899999997,4986.1176159999995,25462.804999999997,0,0,0,0,41430577.668918006,35239463.20580555,6191114.463112459,308226.74328099994,278917738.923656
2024,226253085.174504,127544350.7694874,30059017.341676,97485333.4278114,69572029.22909503,57337247.48314799,12234781.74594703,249762.6489685722,14888526.138844,1473818.941317,5691.757409999999,3580545.598443,2560488.001,551994.681,10244.735711,7605.207039,2639.528672,2861341.4275,870.2985050000001,6514.799000000001,64570.49799999999,488980.3489999999,2393355.301223,0,40419539.188214,33788754.98866484,6630784.199549165,151594.486116,266824218.848834
2025,244842342.276734,137019007.5287534,33485436.5567,103533570.9720534,75549126.29858792,62680128.83940701,12868997.45918093,831048.9034176755,16284428.014376,1239695.441067,8624.028095,4337949.662599,1510307.835,345536.839,9476.781743,6706.131456000001,2770.650287,3583799.8238,1200.341012,5607.9611,82461.74895700002,518026.677879,2806089.595347,709954.7960000001,49294003.820505,40711944.32694369,8582059.49356132,326010.894201,294462356.9914401
2026(p),159896385.80005,87681116.66595984,21029238.345682,66651878.32027785,51846013.66066469,44064785.66705801,7781227.993606705,444170.3490234552,10201742.273,787457.931236,2771.36459,3259306.387022,308077.542,116423.935,23212.773028,21394.903786,1817.869242,2713816.983428,395594.584387,3089.97,115693.168217,386354.217072,1535297.329422,76246.66599999998,27926145.002935,23167565.79594056,4758579.206994438,177577.608132,188000108.411117
