Fecha,Salario,Auxilio
1984,11298,1350
1985,13558,1350
1986,16811,1650
1987,20510,2000
1988,25637,2450
1989,32560,3063
1990,41025,3798
1991,51716,4787
1992,65190,6033
1993,81510,7542
1994,98700,8975
1995,118934,10815
1996,142125,13657
1997,172005,17250
1998,203826,20700
1999,236460,24012
2000,260100,26413
2001,286000,30000
2002,309000,34000
2003,332000,37500
2004,358000,41600
2005,381500,44500
2006,408000,47700
2007,433700,50800
2008,461500,55000
2009,496900,59300
2010,515000,61500
2011,535600,63600
2012,566700,67800
2013,589500,70500
2014,616000,72000
2015,644350,74000
2016,689455,77700
2017,737717,83140
2018,781242,88211
2019,828116,97032
2020,877803,102854
2021,908526,106454
2022,1000000,117172
2023,1160000,140606
2024,1300000,162000
2025,1423500,200000
2026,1750905,249095
