Fecha,Perspectiva,Sexo,Concepto,Valor
2023,Total cabeceras,Hombres,Tasa de Trabajo Infantil (TTI),2.1644803777
2024,Total cabeceras,Hombres,Tasa de Trabajo Infantil (TTI),2.1661593792
2025,Total cabeceras,Hombres,Tasa de Trabajo Infantil (TTI),2.4974092289
2022,Total cabeceras,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),6.7057442067
2023,Total cabeceras,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),5.7351951641
2024,Total cabeceras,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),5.0501966597
2025,Total cabeceras,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),6.0533256084
2022,Total cabeceras,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),7.827592964
2023,Total cabeceras,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),6.9600222609
2024,Total cabeceras,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),5.881506914
2025,Total cabeceras,Hombres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),6.7370633569
2022,Total cabeceras,Hombres,Hombres de 5 a 17 años,3967.555
2023,Total cabeceras,Hombres,Hombres de 5 a 17 años,4007.268
2024,Total cabeceras,Hombres,Hombres de 5 a 17 años,4006.395
2025,Total cabeceras,Hombres,Hombres de 5 a 17 años,4080.659
2022,Total cabeceras,Hombres,Hombres de 5 a 17 años que trabajan,110.03
2023,Total cabeceras,Hombres,Hombres de 5 a 17 años que trabajan,86.737
2024,Total cabeceras,Hombres,Hombres de 5 a 17 años que trabajan,86.785
2025,Total cabeceras,Hombres,Hombres de 5 a 17 años que trabajan,101.911
2022,Total cabeceras,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,156.024
2023,Total cabeceras,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,143.088
2024,Total cabeceras,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,115.546
2025,Total cabeceras,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,145.105
2022,Total cabeceras,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,200.534
2023,Total cabeceras,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,192.17
2024,Total cabeceras,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,148.852
2025,Total cabeceras,Hombres,Hombres de 5 a 17 años que no trabajan y realizan trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,173.006
2022,Total cabeceras,Mujeres,Tasa de Trabajo Infantil (TTI),1.3949913186
2023,Total cabeceras,Mujeres,Tasa de Trabajo Infantil (TTI),1.1919070625
2024,Total cabeceras,Mujeres,Tasa de Trabajo Infantil (TTI),1.2652931317
2025,Total cabeceras,Mujeres,Tasa de Trabajo Infantil (TTI),1.1393464967
2022,Total cabeceras,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),11.604763379
2023,Total cabeceras,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),10.30126291
2024,Total cabeceras,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),9.2152530717
2025,Total cabeceras,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),8.8517313521
2022,Total cabeceras,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),13.536729516
2023,Total cabeceras,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),11.924384625
2024,Total cabeceras,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),11.082226078
2025,Total cabeceras,Mujeres,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),10.715142742
2022,Total cabeceras,Mujeres,Mujeres de 5 a 17 años,3857.646
2023,Total cabeceras,Mujeres,Mujeres de 5 a 17 años,3841.808
2024,Total cabeceras,Mujeres,Mujeres de 5 a 17 años,3948.862
2025,Total cabeceras,Mujeres,Mujeres de 5 a 17 años,3857.673
2022,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que trabajan,53.814
2023,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que trabajan,45.791
2024,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que trabajan,49.965
2025,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que trabajan,43.952
2022,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,393.857
2023,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,349.964
2024,Total cabeceras,Mujeres,Mujeres de 5 a 17 años que no trabajan y realizan trabajo doméstico no remunerado en su hogar por 15 horas o más,313.933
