Fecha,Perspectiva,Concepto,Valor
2022,Total nacional,Población de 5 a 17 años que trabaja,369.383
2023,Total nacional,Población de 5 a 17 años que trabaja,310.379
2024,Total nacional,Población de 5 a 17 años que trabaja,310.579
2025,Total nacional,Población de 5 a 17 años que trabaja,301.52
2022,Total nacional,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",58.166
2023,Total nacional,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",70.842
2024,Total nacional,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",62.96
2025,Total nacional,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",45.357
2022,Total nacional,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",40.844
2023,Total nacional,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",26.937
2024,Total nacional,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",21.897
2025,Total nacional,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",27.027
2022,Total nacional,Debe participar en la actividad económica de la familia,123.121
2023,Total nacional,Debe participar en la actividad económica de la familia,89.213
2024,Total nacional,Debe participar en la actividad económica de la familia,94.53
2025,Total nacional,Debe participar en la actividad económica de la familia,61.54
2022,Total nacional,Le gusta trabajar para tener su propio dinero,136.946
2023,Total nacional,Le gusta trabajar para tener su propio dinero,116.473
2024,Total nacional,Le gusta trabajar para tener su propio dinero,126.081
2025,Total nacional,Le gusta trabajar para tener su propio dinero,159.255
2022,Total nacional,Otra razón,10.306
2023,Total nacional,Otra razón,6.915
2024,Total nacional,Otra razón,5.11
2025,Total nacional,Otra razón,8.341
2022,Total cabeceras,Población de 5 a 17 años que trabaja,163.844
2023,Total cabeceras,Población de 5 a 17 años que trabaja,132.527
2024,Total cabeceras,Población de 5 a 17 años que trabaja,136.75
2025,Total cabeceras,Población de 5 a 17 años que trabaja,145.863
2022,Total cabeceras,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",35.899
2023,Total cabeceras,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",39.022
2024,Total cabeceras,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",24.283
2025,Total cabeceras,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",20.027
2022,Total cabeceras,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",21.869
2023,Total cabeceras,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",14.298
2024,Total cabeceras,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",11.496
2025,Total cabeceras,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",12.086
2022,Total cabeceras,Debe participar en la actividad económica de la familia,36.119
2023,Total cabeceras,Debe participar en la actividad económica de la familia,26.739
2024,Total cabeceras,Debe participar en la actividad económica de la familia,31.089
2025,Total cabeceras,Debe participar en la actividad económica de la familia,22.571
2022,Total cabeceras,Le gusta trabajar para tener su propio dinero,65.239
2023,Total cabeceras,Le gusta trabajar para tener su propio dinero,49.596
2024,Total cabeceras,Le gusta trabajar para tener su propio dinero,66.533
2025,Total cabeceras,Le gusta trabajar para tener su propio dinero,86.009
2022,Total cabeceras,Otra razón,4.718
2023,Total cabeceras,Otra razón,2.872
2024,Total cabeceras,Otra razón,3.35
2025,Total cabeceras,Otra razón,5.17
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,205.538
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,177.852
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,173.829
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,155.657
2022,Total centros poblados y rural disperso,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",22.267
2023,Total centros poblados y rural disperso,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",31.821
2024,Total centros poblados y rural disperso,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",38.677
2025,Total centros poblados y rural disperso,"Debe ayudar con los gastos de la casa, ayudar a costearse el estudio",25.33
2022,Total centros poblados y rural disperso,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",18.974
2023,Total centros poblados y rural disperso,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",12.638
2024,Total centros poblados y rural disperso,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",10.401
2025,Total centros poblados y rural disperso,"Porque el trabajo lo forma, lo hace honrado y lo aleja de los vicios",14.941
2022,Total centros poblados y rural disperso,Debe participar en la actividad económica de la familia,87.002
2023,Total centros poblados y rural disperso,Debe participar en la actividad económica de la familia,62.474
2024,Total centros poblados y rural disperso,Debe participar en la actividad económica de la familia,63.442
2025,Total centros poblados y rural disperso,Debe participar en la actividad económica de la familia,38.969
2022,Total centros poblados y rural disperso,Le gusta trabajar para tener su propio dinero,71.707
2023,Total centros poblados y rural disperso,Le gusta trabajar para tener su propio dinero,66.876
2024,Total centros poblados y rural disperso,Le gusta trabajar para tener su propio dinero,59.548
2025,Total centros poblados y rural disperso,Le gusta trabajar para tener su propio dinero,73.246
2022,Total centros poblados y rural disperso,Otra razón,5.588
2023,Total centros poblados y rural disperso,Otra razón,4.043
2024,Total centros poblados y rural disperso,Otra razón,1.76
2025,Total centros poblados y rural disperso,Otra razón,3.171
